age,annual_income,monthly_debt,requested_loan,loan_term_months,max_loan,approved
19,34420,817,8935,12,7775,1
54,30131,371,11915,24,22595,0
31,23449,763,9419,48,23245,0
30,27851,592,12316,48,35976,0
60,53922,572,6105,12,17577,1
47,30455,666,27855,48,35685,0
28,21810,438,21607,60,30488,0
44,44023,508,11452,36,42675,1
60,13000,597,8019,60,15144,1
43,37609,1287,13207,36,30719,1
70,38450,493,14623,48,52008,0
38,20901,906,8967,12,3281,0
64,73406,1016,10418,36,68658,0
44,33498,449,14219,36,29157,1
70,30869,232,10848,72,60982,1
61,40478,271,6985,48,52285,1
75,39557,8,14792,36,38110,1
74,30809,139,8463,48,40275,1
51,41309,5,6062,36,44256,1
21,37325,750,14509,12,9640,1
20,42467,194,8464,36,44638,1
59,47895,1090,24900,36,42293,1
39,19371,455,23082,48,22787,1
30,37144,687,14155,36,37380,1
42,77141,711,6030,36,77196,1
43,37787,399,5997,24,22293,1
24,34500,223,5794,24,23615,1
35,64271,436,11939,24,44057,1
46,24620,1020,6667,24,11760,1
50,22818,576,4211,60,36084,1
67,60647,31,9334,24,43713,1
23,40719,700,3712,24,23223,1
18,36594,961,4763,48,39561,1
66,21534,943,18565,24,7312,0
60,19178,825,6675,36,12375,0
43,39761,183,9391,24,30401,1
46,17094,185,8219,60,29283,0
19,105334,172,24229,48,90000,1
60,14338,379,5138,48,16740,1
62,28070,285,7850,48,36714,1
29,33960,300,10516,48,45906,1
20,39827,227,8252,24,26834,1
20,33546,510,4317,60,51787,1
54,26697,101,27574,24,20972,1
70,24484,876,24655,48,26572,0
23,14575,90,18062,36,12776,1
70,25289,350,13369,36,22083,1
18,29650,332,11262,24,21190,1
61,26377,594,11371,72,47043,1
48,54990,341,8281,48,75087,1
29,26633,257,11772,24,18388,1
22,44607,450,9062,60,72682,0
37,77457,111,23016,60,90000,1
52,26709,469,4427,60,38246,1
59,23424,768,18029,36,16299,1
21,45337,601,14306,24,28167,1
56,25917,568,14327,12,8589,1
52,31437,1132,16402,12,5996,1
66,15874,388,11440,24,9452,0
48,27318,145,7038,60,51212,1
36,45734,92,14951,36,45630,1
19,41431,166,7251,36,44282,1
35,65500,94,17621,12,27902,1
48,28066,560,8286,24,18376,1
71,36124,62,15111,24,25743,1
73,13000,542,10652,24,3883,0
24,30851,621,9367,36,24797,1
71,13443,612,5778,12,1054,0
46,24361,306,2279,36,23405,1
73,21816,642,8512,48,21956,1
54,32985,39,8357,24,23795,1
67,37285,1243,25257,60,50689,1
26,45764,194,8012,24,32818,1
43,28153,743,13710,48,33053,1
19,22175,438,11876,48,27295,0
56,38184,186,11728,36,40416,1
19,40574,376,17052,60,65551,1
75,37864,937,10072,60,54566,1
71,26614,479,15303,36,23641,1
30,31392,197,12157,36,32929,1
27,24150,213,11548,72,46930,1
32,21885,935,5037,12,8940,1
31,34876,1032,17822,36,33912,1
47,49940,380,7013,36,53805,1
35,56559,455,6962,36,56929,1
43,33123,419,8461,48,46883,1
23,34394,1549,20335,36,22395,0
22,29863,753,8924,48,35456,1
49,42865,863,3713,36,36675,1
68,42749,1548,13821,24,21549,0
54,60494,863,8736,36,57116,1
43,36503,435,14390,72,69968,1
60,49073,683,17672,24,30122,1
24,40326,1598,14973,12,7873,1
53,53491,333,15471,24,35773,1
35,64043,577,10318,24,45438,1
35,41010,837,5164,24,28836,1
59,32020,183,20677,60,54478,1
64,19371,441,35462,24,8612,1
60,34238,449,2932,36,30527,1
70,22808,52,5963,72,45806,1
65,48617,674,16968,36,49994,0
19,27030,239,19435,36,28868,1
45,52596,326,5284,60,90000,0
61,51893,569,16003,36,49872,1
70,45790,111,7632,24,31529,1
28,40680,538,8110,36,40320,1
25,74781,736,8970,36,74840,1
24,21244,331,22500,36,17538,1
65,31339,759,21120,36,26463,1
42,58011,768,16300,48,76426,0
39,35437,519,11122,24,22330,1
64,21850,775,12860,36,16922,1
59,36516,51,10045,24,27999,1
30,40336,1123,12266,12,10865,0
45,30840,441,6168,48,39697,1
51,42395,233,5143,24,30127,1
68,16036,1138,13778,24,4422,0
57,16484,635,14847,36,12024,0
37,46732,634,16477,12,16949,0
18,64365,833,11831,48,82981,1
27,22824,346,15027,36,19377,1
54,32942,771,16192,12,8615,1
63,36116,1119,9468,36,30867,1
21,58710,578,19089,60,90000,1
66,29956,948,19887,48,32439,1
74,72077,44,5640,36,76626,1
47,24947,92,8189,60,43958,0
19,29003,312,10835,36,27105,1
32,24546,412,7936,36,24476,0
39,50839,949,8410,36,47197,1
72,21886,406,4252,48,28153,1
23,36658,172,10669,60,62092,1
55,23816,1631,20690,72,21474,1
30,30905,141,19921,36,30441,1
38,31135,60,22272,36,29305,1
68,32116,409,16794,36,32928,1
52,39299,1323,19262,36,31561,0
20,30890,112,7817,60,56779,1
45,35285,305,8513,48,45278,1
46,39921,123,8420,36,41418,1
29,31040,434,12216,36,29004,1
43,24481,1657,9189,36,6595,0
68,36745,669,12742,60,56255,1
62,30383,237,4417,36,33191,1
45,58218,341,19020,36,59267,1
32,55200,406,9015,24,35564,1
63,60138,747,16953,36,55331,1
20,38476,1135,8458,60,51368,1
58,47899,600,3604,36,44607,0
61,14332,424,12367,36,10125,0
61,45154,529,3589,48,59327,1
45,27513,1410,6556,72,34709,1
65,63126,431,9935,36,63981,1
38,19499,747,4923,48,20755,1
71,36892,329,8163,36,35518,1
47,25783,950,4029,48,26586,1
26,24849,316,21721,60,40276,1
42,33090,852,21016,24,21361,1
36,40667,738,18781,36,38678,1
63,23542,780,3161,72,36903,1
33,77438,284,6340,72,90000,0
75,33405,537,13402,12,11673,0
68,69605,366,6421,72,90000,0
66,76355,249,14314,60,90000,1
27,15247,296,14859,48,15858,1
21,19254,287,14452,72,35177,1
38,28389,295,11422,48,36922,1
61,46001,249,10350,36,46456,1
24,40040,870,4724,48,48321,1
59,22108,264,24398,48,29213,1
50,16430,620,4894,36,13552,0
24,68308,242,5376,36,71308,1
75,36461,1016,10436,24,20718,1
28,34335,448,14459,36,34272,1
33,41708,738,16055,36,39878,1
49,57401,101,8859,60,90000,1
74,46198,1304,6562,60,66799,1
57,44149,806,7771,12,15192,1
40,43194,724,11991,24,26544,1
74,26814,263,6331,36,28118,1
28,43173,62,3675,24,30294,1
60,87197,161,9382,24,60156,1
46,30789,776,19104,48,34656,1
65,32666,232,24605,60,55598,1
66,47164,83,17307,60,82301,1
28,44494,304,7277,60,74590,1
54,23135,298,9564,24,14652,0
22,47647,684,10180,12,14442,1
29,33378,329,12740,72,66222,1
37,65055,237,4731,72,90000,1
62,27960,958,5520,24,14249,1
46,31200,327,3276,60,49137,1
21,28358,797,12666,36,24199,1
34,24155,645,35623,36,18586,1
59,27191,52,13021,36,27779,1
47,26107,109,22291,24,18007,1
63,53345,1004,18453,36,49360,1
34,97825,254,10843,48,90000,1
20,65126,1352,6489,60,90000,1
44,40175,376,14467,48,54429,1
32,50214,335,13423,24,35439,1
66,46835,534,16877,48,58206,1
21,30552,617,6676,48,38792,1
32,19731,503,15439,24,9596,0
44,26021,323,3765,24,19255,1
45,30374,478,8268,24,17922,1
28,34574,431,6712,36,33719,0
52,42279,483,16683,60,68507,0
34,30144,328,4122,72,59956,1
21,68005,162,4031,48,90000,1
18,40813,350,9979,24,28118,1
59,41629,1008,5740,36,41108,1
62,59230,747,17059,60,90000,1
50,43072,201,9400,48,63402,1
41,52250,351,10692,36,57624,1
58,76838,263,22561,48,90000,1
53,73453,243,19492,48,90000,1
27,36856,342,7820,48,52766,1
43,27760,38,20279,24,20741,1
72,23183,517,12621,36,19857,1
35,22966,607,11882,60,31759,1
48,43646,571,12523,72,82444,1
21,31007,785,31876,36,26636,0
24,28880,175,32861,36,28835,1
47,55259,341,3744,36,58177,1
62,24650,727,7154,12,8178,1
62,32364,1299,17090,72,49259,1
33,57566,289,38501,48,80744,1
71,19977,271,9480,60,30882,1
63,45047,151,17311,48,66709,1
60,22846,1165,13766,24,11201,1
69,31371,439,32040,72,60722,0
20,27544,433,9407,60,43512,0
25,81634,186,5136,60,90000,1
40,31812,419,36995,48,41411,0
59,40337,335,14564,24,24532,1
65,33078,432,4636,72,62728,0
54,33941,713,4953,60,50455,1
21,34651,200,6999,48,47334,1
72,32191,977,11794,12,9877,0
62,35075,423,23302,36,32641,1
69,73390,162,18806,36,77706,1
22,38665,617,17135,36,36571,1
65,30142,176,11311,36,31400,1
29,50917,311,11843,12,16338,1
23,17880,407,8703,24,11311,1
50,56444,99,16170,36,62795,1
36,36446,399,15055,72,71468,0
26,28752,801,17020,36,24265,1
50,17562,441,19311,60,23593,1
20,22301,225,13055,36,21654,1
66,22521,1115,12302,48,24324,0
21,21639,2144,11455,72,10485,0
56,51606,20,4864,48,76689,0
37,41658,399,11272,36,41612,1
41,35452,156,6513,60,60319,1
28,41045,258,8497,60,69036,1
60,29566,104,17484,48,42071,1
52,31051,370,16974,48,35056,1
20,17814,697,10207,36,13086,1
73,62510,392,19887,48,84028,1
40,60178,161,5298,72,90000,1
57,37362,324,10932,48,49437,1
62,32715,761,5543,36,30325,0
59,31311,758,26141,12,9106,1
22,30513,524,9021,48,39533,1
50,38032,315,13572,36,37684,1
69,68829,293,5249,48,90000,1
74,25810,1332,4745,60,27796,0
34,14757,624,4949,48,11583,1
40,34119,377,12314,24,19280,0
58,46867,700,25160,60,74375,1
49,31564,673,6617,36,27201,1
18,20923,522,7167,36,16905,1
52,23657,307,7417,36,22461,1
58,34487,21,5249,36,35701,1
40,38381,469,13812,24,23751,1
24,28449,685,5444,36,22773,1
66,29141,912,9531,36,24110,0
46,42999,373,9116,48,55072,1
23,35370,1650,4744,48,28549,0
24,26078,354,7830,24,18811,1
63,59915,1668,16235,48,61551,1
40,34558,352,6449,36,36004,1
74,27405,1097,7683,36,21301,1
73,53143,280,21521,72,90000,1
66,45224,242,13086,48,64268,1
50,28544,1755,5221,72,31088,0
53,28203,737,4443,36,26314,1
70,19990,656,11377,60,25360,0
61,27269,39,18085,48,38213,1
19,16335,377,17586,36,14627,0
66,62883,586,11712,60,90000,1
41,41499,781,15802,24,25011,1
36,36606,303,14352,36,37023,1
30,44476,554,16603,72,85177,1
56,20900,127,9488,60,34931,1
39,22199,818,8128,36,16353,1
43,24683,115,7431,72,50900,1
67,62661,597,14411,60,90000,0
38,55796,785,7895,36,53039,1
33,84860,652,6394,48,90000,1
57,55710,165,14206,24,38792,0
44,53705,317,29211,48,73187,1
54,25652,385,12484,48,32476,1
45,28345,118,7215,36,31086,1
26,60683,347,11746,48,82305,1
47,35530,448,11158,48,46145,0
42,45337,646,10884,36,43635,0
67,17731,411,13495,36,15118,1
23,60005,1471,16232,24,32977,1
42,33797,437,15776,12,10145,1
40,29153,1002,17028,24,15311,0
35,40240,985,12199,36,32530,1
73,31015,491,18475,48,35753,1
69,61571,522,12462,60,90000,1
57,53938,922,6278,72,90000,0
73,27243,76,19622,48,39192,0
74,32190,271,14056,60,52996,1
70,48005,841,30452,36,44207,1
42,24110,441,18670,48,30248,1
52,36145,907,4449,72,60537,1
29,29325,346,25608,72,56301,1
39,20002,341,22110,48,25762,1
61,22137,285,12982,72,43439,0
24,19325,195,5093,36,17949,1
31,46354,456,11062,60,73971,1
44,91464,330,7011,24,62417,1
29,19495,259,8694,48,22733,1
42,33291,119,6013,36,36518,1
35,25980,590,10591,24,11327,0
54,25391,127,8349,12,9869,1
22,48546,220,13697,36,48452,1
70,57183,191,8114,24,41312,1
41,34113,273,6578,36,35876,1
72,19737,411,6783,24,8621,0
18,68624,397,11430,24,47429,1
19,42281,293,7455,60,72133,1
62,25935,124,11673,24,20690,1
23,33008,965,8691,60,45962,0
25,44927,766,9460,36,43004,1
55,31980,202,2388,60,53325,1
28,49872,1367,23745,48,52974,0
54,25474,27,21688,48,35920,1
53,23191,405,18619,48,30246,1
70,23049,500,8480,36,20342,1
63,44528,434,5553,24,28449,1
39,47736,226,11256,36,50569,1
61,21753,556,7589,60,29465,1
49,28829,506,8228,36,29563,1
70,58733,355,11571,48,79149,1
27,24132,360,18237,48,29855,0
56,30045,312,13784,36,30148,1
37,24150,55,11830,24,15478,1
19,20689,580,7318,48,25610,0
23,47918,416,2559,60,80495,1
42,31630,405,32285,72,61425,1
18,28807,564,10840,60,41038,1
25,32553,595,10211,60,48596,1
42,54064,269,11036,72,90000,1
41,32822,987,11433,60,46345,0
40,36006,589,6042,36,30750,0
70,62200,442,6811,60,90000,1
51,44256,113,4397,36,48142,1
20,40325,632,8128,36,39364,1
52,26413,134,3512,60,46621,1
21,18393,664,5980,48,20078,1
30,40174,110,24245,48,57470,1
64,26635,1210,7175,12,6454,0
67,38805,245,6842,36,38537,1
32,28103,1278,11786,48,26477,0
23,46105,1169,13861,60,67128,1
64,41086,871,31877,36,36354,1
35,23079,725,10225,12,4600,1
42,78863,811,24286,36,74907,1
45,31003,394,9823,36,30403,1
40,22105,58,15932,48,31102,1
24,55576,209,16881,72,90000,1
57,41022,817,8618,48,48908,1
25,51147,598,4469,48,66108,1
64,22761,1208,2379,60,22930,1
27,40080,505,18590,60,63907,1
26,44563,321,19395,60,72591,1
31,59890,347,21895,24,40206,1
50,22824,520,32417,12,7993,0
19,21808,259,7801,48,28182,1
41,35962,176,3114,48,47248,1
33,32791,190,9384,48,45749,1
47,40308,1396,13707,36,31927,0
25,40228,727,14861,36,37765,1
57,30422,143,23394,60,50979,1
55,16988,235,18755,48,18260,1
52,42332,717,8965,60,65549,0
50,34313,143,20649,24,26535,1
26,32261,76,19656,72,68025,0
56,43060,932,15455,36,43370,1
43,39199,453,8577,48,51307,1
20,55939,505,13309,48,75670,1
23,13000,209,9220,48,16836,1
66,49505,634,16135,36,45989,1
62,48025,307,6074,60,82149,1
37,38410,821,7813,24,22316,0
32,71352,233,11096,60,90000,0
71,13156,341,33130,48,13155,0
37,22269,487,13266,36,21550,1
30,34974,292,3798,36,37281,1
42,31239,452,5908,48,38366,1
35,37968,178,9599,12,14455,1
22,22719,544,14703,48,27583,1
23,47640,492,9642,24,27077,1
32,39280,349,11502,24,25014,1
57,21380,195,19002,60,36437,1
56,36028,195,13680,72,74699,1
22,20392,885,14625,48,20538,1
63,21118,1030,3550,60,25071,0
61,37212,817,7396,48,41623,1
25,41427,231,11313,36,45136,1
54,66109,603,4055,12,20318,1
29,42106,243,25643,12,13156,0
62,36179,665,12799,48,44394,0
49,20931,324,6535,36,20458,1
29,20882,375,2769,36,19330,1
19,23681,352,23303,60,36518,1
72,23167,467,14357,60,34261,0
59,35169,1039,11315,36,28711,1
32,39013,246,18101,36,37663,0
62,22141,328,17901,60,36604,1
49,21983,1898,19619,36,4433,1
74,29031,256,20994,48,41598,1
31,50291,256,10844,48,66304,1
58,37772,49,4902,36,39504,1
57,17048,172,8213,60,29960,1
26,24261,767,11786,48,27187,1
38,34627,1071,29434,24,20574,0
21,21967,153,7413,36,20050,0
18,57893,195,14514,24,40227,1
61,25201,848,14406,72,41163,0
29,30904,376,6142,36,30613,1
19,49324,1654,2811,36,38881,0
29,33558,537,6422,48,43453,1
23,18891,949,4761,24,9344,0
45,41994,888,12364,60,60574,1
18,70995,171,6409,24,49372,1
45,39941,258,14073,24,25675,1
70,23185,306,13670,48,31423,1
42,21486,185,4819,36,22489,1
29,28909,518,7673,36,25884,1
24,52387,733,8637,36,49765,1
28,48050,727,21927,60,78028,1
52,41313,190,7305,72,82184,1
46,67862,145,23396,36,68308,1
23,50570,755,12702,24,29028,1
38,25648,1022,19646,12,6638,1
38,19798,131,10074,60,33617,1
34,24857,608,15428,60,34276,1
22,25430,101,12888,60,42474,1
37,55018,405,3898,36,57084,1
41,30743,702,5233,48,33874,0
20,24962,405,36780,60,39694,1
63,32666,417,6445,12,7963,0
25,24407,977,11094,24,12554,1
25,54920,951,8427,12,16637,1
44,17164,363,13232,24,9848,1
33,47227,549,11884,48,60062,1
37,28706,193,6434,36,29541,1
37,57323,220,10708,12,18020,1
18,35512,188,22401,60,60612,1
40,43593,695,11482,12,16514,1
40,42446,534,9382,72,82342,1
73,41950,938,10730,60,60549,0
33,34901,770,9131,12,12408,1
40,56845,246,11022,12,20797,1
40,56914,233,12064,48,79159,1
70,22511,464,11364,72,40835,0
25,19975,312,13542,12,5477,1
49,31273,279,7573,36,29116,1
51,57628,616,9604,48,76453,1
68,23697,685,31236,48,26030,1
21,47536,18,13068,24,35431,1
21,43886,558,17577,36,40992,1
68,31115,695,8945,48,37093,0
39,33981,351,4947,48,42798,1
33,27239,678,17215,60,36412,1
66,50403,79,16575,12,17817,1
33,27410,77,13900,60,47276,0
28,20368,225,9909,36,21498,1
29,23669,1016,7180,72,29408,1
47,23709,88,2756,12,8212,0
63,35849,325,23343,36,35093,1
54,34909,182,3095,36,34443,1
44,25311,444,22909,72,45636,1
68,23254,513,13187,36,22461,1
51,15915,1131,10913,36,7420,0
49,32186,582,8553,36,31045,1
30,60233,594,9579,48,81598,1
63,26331,27,7834,36,27500,1
19,18006,703,4180,24,11647,0
62,20078,75,4561,48,27704,1
58,22962,488,6621,48,28045,1
58,21349,323,13740,36,21582,1
39,26122,753,22218,24,16123,0
36,23575,296,4612,60,37991,1
62,22601,352,18255,48,27191,0
36,22949,425,13295,12,5099,1
33,27344,497,13862,36,24569,1
49,13000,308,11483,48,15731,0
24,35489,287,10240,48,48412,1
20,44838,151,5030,24,31056,0
31,30751,699,13050,36,27156,0
58,16313,1084,9704,12,2311,0
39,29827,1579,7395,60,29881,1
47,52944,240,3774,24,35828,0
28,31081,511,10418,12,9614,0
32,30964,852,21860,24,14863,0
30,58024,1013,10216,36,55859,1
19,78901,236,18820,60,90000,1
36,22468,398,16530,36,17625,1
52,47304,174,7196,24,32268,1
52,34544,220,16245,24,25227,1
54,35696,278,13664,12,13862,1
21,18656,91,14705,36,20194,1
41,18555,326,27353,24,8562,1
24,24025,1173,7201,36,14933,1
60,31125,303,20332,12,10217,1
22,41735,527,4572,36,40531,1
69,36148,918,5691,60,51118,0
72,16357,586,25935,36,13612,0
31,20322,1107,5100,36,16135,0
54,22575,60,14901,48,31088,1
21,18102,579,5225,60,25834,1
60,26187,125,16638,36,26316,1
45,83230,331,15619,24,58205,1
61,46587,1086,9233,72,80178,1
23,30207,149,3857,36,28694,1
21,38586,269,21268,72,78818,1
46,31048,787,9046,72,52366,1
59,25419,500,32891,60,38082,0
63,26246,339,5821,36,24452,0
45,28390,519,13059,48,36820,1
75,33764,974,6546,48,34518,1
47,32506,204,33417,48,43875,1
23,16874,447,8024,48,19495,0
20,48495,468,12445,24,33862,1
72,36465,472,17117,60,59989,0
56,41215,717,15708,48,52284,0
43,43680,1333,20552,36,32860,1
30,75374,179,6844,24,52578,0
42,55425,213,39817,36,59558,1
26,51752,370,12867,36,51987,1
22,59056,244,9134,24,39428,1
68,31587,337,5524,60,49909,0
46,16051,954,10932,12,5007,1
52,40768,190,14295,36,44396,1
23,37291,402,10361,36,37321,1
41,35752,187,8906,48,47533,1
32,36186,218,19716,48,49500,1
74,51398,261,12300,48,69912,1
30,31029,895,2963,12,7680,0
24,40429,336,8077,36,38200,1
48,13214,267,7863,36,11961,1
32,33155,417,4682,12,9534,1
33,56956,277,17251,36,62593,1
37,19791,309,6299,36,19490,1
46,38956,287,24097,72,75956,1
50,49285,639,16270,36,47409,1
70,48116,339,18619,48,65243,1
40,23519,415,6823,48,33555,1
50,20153,708,7479,12,4655,1
55,23888,888,19633,12,8582,0
55,21149,494,11533,48,26967,1
74,34050,214,7234,36,38607,1
25,48674,500,14296,24,29347,1
60,40016,246,19028,48,55351,1
55,31302,479,10590,36,31428,1
26,52717,1034,17726,36,45597,1
47,79869,1126,41178,36,76386,1
39,46790,451,15405,48,63690,1
74,57108,357,29871,36,58527,1
63,30904,1028,22382,60,40988,0
34,41631,372,2499,24,28421,1
61,31621,349,4881,60,47161,1
58,30265,803,10636,36,30406,1
25,27627,988,6593,24,8890,1
35,39770,1062,13970,36,33166,1
70,37401,253,10907,36,33474,1
51,45556,464,7146,24,30404,1
19,95082,382,8103,60,90000,1
60,51370,696,13005,36,46675,1
42,18299,79,4144,72,38093,1
54,83622,70,10745,36,90000,1
43,28391,307,6392,24,18920,1
18,26819,346,3462,36,21871,1
75,41525,249,16871,24,27928,1
63,48336,420,4318,12,15290,1
58,29336,196,4175,60,48453,1
75,27850,844,5303,48,30573,1
71,29321,547,19564,36,25544,0
73,24675,244,7039,48,31785,0
34,55061,616,14582,60,87630,1
46,37742,62,8156,48,52666,1
60,39173,913,33948,24,22318,0
55,44342,566,8555,36,44108,1
20,20104,591,13139,48,19823,0
75,32632,344,14036,12,13120,1
24,74167,311,7452,24,53368,1
30,23211,1038,2478,60,25026,0
49,66566,811,10402,60,90000,0
74,53171,394,19596,60,89561,1
30,69120,875,7275,72,90000,0
18,26938,404,3482,24,20449,1
30,45414,132,6310,12,16635,1
65,21800,243,11619,12,9831,1
45,20516,1195,9125,24,8855,1
31,44714,259,14954,24,28148,1
45,21339,659,8363,60,25536,0
46,52790,182,14915,24,37645,1
62,26611,812,5503,12,8691,1
58,24328,416,8270,60,38395,1
27,31362,70,11491,24,20216,1
56,33513,419,8602,24,24279,0
60,22919,936,14878,24,12444,1
58,58999,977,10083,36,55232,1
20,36591,327,17523,36,33658,1
70,52256,535,11480,24,37483,1
36,43274,280,13359,36,46673,1
32,47573,1021,10639,36,43368,1
57,50142,96,7092,36,53158,1
20,43526,103,10739,36,44622,1
51,32806,142,3212,48,45628,1
49,37201,256,7483,48,52453,1
22,22391,654,8036,48,24274,1
61,54725,128,11589,36,57772,1
44,22464,500,8575,36,20126,0
19,52011,242,13060,60,90000,1
44,28709,496,21847,60,45482,1
45,24684,1309,10772,48,17767,0
64,68125,1063,9192,36,62175,1
61,30838,520,4796,12,6715,1
28,34650,481,7619,48,46347,1
18,25037,357,18701,24,16415,0
54,26730,618,7049,36,19776,0
47,35125,358,9229,60,56611,1
71,58029,430,26837,48,75987,1
53,26098,855,10470,48,29081,1
20,50301,850,21188,48,62269,0
46,59187,215,15255,24,41324,1
31,22230,361,11040,36,20208,1
43,67086,757,3192,24,40673,1
25,122385,146,20010,24,88731,1
67,36508,120,12257,12,14808,1
28,44277,443,3786,36,42911,1
22,25348,392,5442,36,23808,1
31,30009,872,4117,36,24422,1
47,19302,247,6117,72,39400,1
64,43426,881,4305,48,49259,1
39,46519,1193,16895,36,36765,1
28,65793,603,9391,60,90000,1
39,34165,100,9988,24,26732,1
61,35203,447,16699,48,45349,1
48,28226,731,7938,36,23196,1
72,27352,565,14528,24,15624,1
36,30155,129,11824,36,26014,1
60,73315,448,21392,48,90000,1
55,80390,875,11426,48,90000,1
21,13522,629,8941,24,6071,1
55,24407,392,19524,36,20300,1
74,48592,186,8165,24,34473,1
31,21701,291,4542,24,15274,1
56,22437,1063,9124,24,7344,0
35,40491,152,6169,24,30006,1
68,50146,339,20320,60,85979,1
25,31655,512,7578,36,29378,1
30,22210,493,13140,24,14990,1
53,17898,80,22736,36,19376,1
23,24517,277,13891,48,30925,1
32,31269,629,15313,24,19962,1
44,24673,767,10083,36,20348,0
23,33020,87,2593,60,57484,0
45,50721,773,2716,72,90000,0
24,18615,508,6712,48,21341,0
65,18467,594,3792,12,6155,0
70,20832,514,12246,60,30346,1
33,18628,662,21033,36,17379,1
35,37745,409,18505,24,25821,1
63,39824,246,12356,48,52834,1
61,73530,455,2954,48,90000,1
73,40296,426,14221,12,14082,1
50,77352,603,8329,12,26619,0
59,49758,553,14208,48,65029,0
19,30206,61,15057,60,52261,0
34,24768,809,10134,60,34411,1
43,44814,368,20535,36,42997,0
72,31874,136,40508,36,31179,1
34,45210,533,13643,48,59312,1
50,39446,199,10489,36,45090,1
54,32191,462,15701,60,53108,1
59,32488,843,8125,72,55044,0
49,56057,385,3272,48,78110,1
64,67549,1056,5156,24,39775,1
37,50563,191,5321,36,56868,1
62,47499,113,6979,48,67424,1
64,25288,314,9054,24,16575,1
36,36153,461,9042,60,58010,1
60,42551,198,4297,24,26482,1
64,21049,450,3333,24,14443,1
59,41811,869,14212,36,37188,0
75,48532,378,8082,48,67399,1
69,26974,761,8571,60,37326,1
38,18814,387,18035,36,18101,1
19,55220,96,13764,36,57364,1
27,17399,364,4539,60,27317,1
57,30615,691,14397,48,34241,1
50,18938,40,26748,48,26034,0
20,93099,1066,9348,24,60948,1
48,45876,580,3005,72,88505,0
30,61496,773,12032,60,90000,1
23,52636,170,4339,36,55836,1
21,28572,692,13355,60,41082,1
62,35400,329,5806,36,34094,1
39,52264,281,12626,36,53808,1
50,52867,449,12391,24,36167,1
46,30839,448,4070,24,17295,1
21,34999,707,6307,48,43841,1
37,52201,205,9623,48,72270,1
55,18587,522,16553,48,23544,1
48,16786,836,12110,36,8888,1
41,30421,328,4485,60,49315,0
24,59752,538,16240,12,18974,1
23,32700,403,4634,24,25339,1
57,38592,335,7315,60,65113,0
19,33069,807,11564,48,39822,1
70,16260,93,16537,12,5697,0
49,27548,1189,6422,36,14551,1
44,21715,57,20344,36,23364,1
29,62804,451,22864,36,64605,1
56,27740,391,4086,36,26891,1
64,19911,409,7119,36,16570,1
61,49655,577,9706,72,90000,1
56,34442,272,5413,36,34597,1
43,44873,260,15674,24,31997,1
40,30992,236,5359,24,21649,1
32,63556,77,7083,60,90000,1
28,51886,305,7303,60,89579,1
20,35159,791,6994,36,29836,0
52,35650,518,8878,60,54598,1
42,31182,167,7398,48,42377,1
67,20596,420,5609,60,30229,1
57,49721,153,13823,12,15535,1
31,49736,359,15539,36,47702,1
50,30181,1658,9937,72,36435,0
34,28457,2,6710,60,50228,1
62,51306,989,3771,48,58806,0
58,34399,721,6350,48,39653,1
18,32913,831,11283,48,38262,0
25,23616,140,10022,36,23788,1
65,57849,251,13949,36,59049,1
27,37038,374,26539,36,36569,1
39,13000,348,5416,36,13689,0
59,38012,78,15111,36,43863,1
44,41704,80,5974,36,47406,1
37,38679,417,16341,36,37821,1
32,28445,238,11008,24,17528,1
66,36686,192,23224,60,64398,1
40,37847,523,22008,48,45913,1
63,31684,691,41428,36,27069,1
21,77582,249,10506,48,90000,1
60,38325,108,15590,24,27491,1
25,31826,858,19534,72,52167,0
48,21173,559,8326,12,8078,0
22,19656,2646,10081,24,500,0
70,51490,339,19813,36,52082,1
70,41074,394,16113,24,27662,1
44,61727,749,8406,36,59862,1
62,36819,280,12875,24,24205,1
73,37435,864,26027,12,9413,1
41,27999,718,14378,36,21898,1
42,51594,627,28572,36,51065,1
54,32485,316,8277,36,31876,1
64,31810,523,21218,48,42646,1
75,29664,306,7034,48,38409,1
34,24202,449,8683,60,33708,1
21,22226,435,13530,24,13758,1
19,31060,318,23697,36,28400,1
73,42168,509,8645,60,68190,0
19,29058,436,10428,36,28900,1
60,22091,219,3869,12,7063,0
21,53814,742,16349,24,33734,1
55,30829,1306,3090,24,15287,1
31,35840,1098,24396,60,49373,0
75,57644,121,10654,12,19526,1
51,35363,425,9499,60,56839,0
44,69540,269,8334,60,90000,1
28,35175,87,3080,12,12900,1
65,29140,482,10341,36,28625,0
69,62212,885,9267,48,78669,1
51,30439,695,10144,72,50724,0
45,31256,513,12781,24,22589,1
58,72991,578,12576,12,24460,1
48,47359,456,9864,48,61657,1
46,32114,352,5854,36,30866,1
41,71347,128,29869,24,50805,1
20,36332,83,10610,60,67735,1
58,30588,424,4323,60,49767,1
64,24883,296,20624,48,32588,1
75,48000,170,6993,24,29668,1
46,31900,591,4941,36,26192,1
47,47977,659,12269,24,29475,1
45,25016,76,8130,36,25616,1
20,20339,1337,16587,24,4800,0
40,28776,662,6328,24,17596,0
60,36328,509,7672,36,35470,1
23,51691,642,6365,36,50863,1
32,30159,558,9707,48,37037,0
26,21079,123,13646,72,42159,1
22,30272,376,2807,36,29181,1
49,35139,221,9890,36,32933,1
