age,annual_income,monthly_debt,avg_monthly_balance,overdraft_usage,approved
71,20752,608,1521,0.05,1
46,52473,359,1381,0.281,1
73,21207,285,-245,0.167,0
54,28917,285,1509,0.319,1
67,40068,296,2001,0.426,1
26,52729,550,2218,0.0,1
43,17226,298,3382,0.142,1
19,21064,498,3531,0.049,1
56,64368,1213,1156,0.315,1
19,14021,384,852,0.0,1
75,31748,475,1445,0.062,0
71,37590,179,1384,0.353,1
30,28512,249,-556,0.088,1
27,14455,149,1946,0.18,1
32,27764,59,1070,0.13,1
31,31711,380,2131,0.066,1
47,13525,238,708,0.056,1
35,17052,431,335,0.457,1
43,21252,104,1656,0.076,0
23,27363,443,1509,0.117,0
22,30659,579,-137,0.088,1
49,15910,725,2025,0.189,1
68,56421,572,4312,0.22,1
54,26722,851,-367,0.143,0
43,9000,98,1327,0.272,1
60,23960,835,-700,0.097,0
24,10794,914,3174,0.01,0
53,16224,279,1206,0.05,1
35,25682,270,1004,0.273,0
35,51730,793,1062,0.252,0
59,25076,302,395,0.092,1
64,26466,240,1135,0.117,1
60,26949,576,2313,0.08,1
70,41023,906,1155,0.006,0
65,54249,102,1640,0.0,1
19,20244,565,-485,0.086,1
45,47603,495,612,0.322,1
61,17516,262,856,0.051,1
70,30664,269,2389,0.276,1
28,20864,90,155,0.002,1
25,22502,933,1099,0.145,1
24,33330,343,848,0.466,1
65,32559,417,1930,0.049,1
42,46939,661,1807,0.145,1
39,12108,811,1694,0.0,0
64,35463,618,325,0.0,1
59,28899,636,559,0.232,1
30,18728,1014,320,0.346,1
45,43511,253,821,0.308,1
51,29611,389,1075,0.42,1
68,29834,304,-99,0.044,1
57,24721,376,2308,0.076,1
37,35610,843,3043,0.465,1
18,33666,294,-1324,0.129,1
27,23540,536,3257,0.941,1
54,51043,600,2097,0.011,1
63,13693,200,1211,0.07,1
21,35398,300,26,0.012,1
66,32029,472,2372,0.0,1
74,25281,313,1477,0.393,1
47,12251,779,601,0.223,1
19,18222,268,769,0.017,1
32,27097,389,1881,0.374,1
39,30283,193,2110,0.227,1
72,43062,521,1180,0.0,1
23,35899,791,295,0.217,1
55,30330,767,948,0.21,1
30,18873,371,1095,0.061,0
38,30332,203,2148,0.354,1
68,14895,259,1284,0.232,1
52,27676,722,-32,0.097,1
20,28494,252,1873,0.408,1
45,22072,336,2848,0.188,1
46,43111,716,2053,0.283,1
29,54139,395,3976,0.286,0
43,26954,655,1036,0.096,1
68,17423,255,2500,0.477,1
62,41186,394,2385,0.295,1
45,9870,743,2579,0.119,0
32,30996,277,1934,0.141,1
63,18269,294,659,0.207,1
20,34357,18,2696,0.019,1
58,49022,130,1774,0.637,1
61,46446,250,2022,0.57,1
61,20922,776,1775,0.133,1
45,23126,125,2679,0.342,1
65,21827,430,204,0.355,0
38,40710,265,389,0.208,1
71,18663,383,55,0.055,1
47,41161,947,2946,0.253,1
26,50373,451,1937,0.192,0
42,33355,89,1132,0.305,0
36,16227,151,-886,0.32,1
63,43963,169,1165,0.081,1
33,22102,78,2950,0.235,0
75,34083,98,3828,0.11,1
68,31388,361,1999,0.357,1
66,23812,359,1613,0.243,0
27,26263,324,2966,0.036,1
21,42219,472,1462,0.607,1
38,32118,673,1489,0.239,1
61,42949,432,1283,0.173,1
24,40932,433,1150,0.0,0
59,28345,502,244,0.204,0
50,85577,300,1311,0.402,0
24,46135,497,1744,0.6,1
75,22920,362,1170,0.606,1
28,23485,31,2535,0.093,1
33,26844,134,2665,0.089,1
49,19067,652,1762,0.351,1
74,26917,136,2102,0.098,1
57,45916,375,2831,0.087,1
40,49921,170,1917,0.23,1
74,22494,791,940,0.164,1
28,63731,207,1713,0.273,1
60,20180,172,307,0.033,1
46,33908,1306,1272,0.405,1
65,33739,710,1333,0.264,0
66,30074,391,592,0.06,1
28,29044,267,2950,0.071,1
54,22227,257,490,0.123,1
22,30172,592,111,0.034,1
29,16741,688,514,0.602,0
37,28198,902,1762,0.13,1
62,33981,325,2435,0.409,1
46,13982,976,135,0.288,0
21,43966,1512,-736,0.081,1
34,15511,127,390,0.073,0
59,50556,784,1266,0.543,1
47,13454,230,1132,0.428,0
63,29045,823,1503,0.051,0
34,31393,530,2232,0.045,0
20,32607,280,3176,0.196,1
44,19459,207,760,0.729,1
32,26375,535,2180,0.111,1
66,15862,525,916,0.062,0
21,16028,753,498,0.414,0
32,40148,1265,1854,0.327,0
44,47542,256,2290,0.333,1
45,50046,473,4023,0.121,1
28,27897,200,1544,0.117,1
52,33341,292,1013,0.005,1
34,29298,270,3221,0.094,0
21,26998,315,-315,0.004,0
18,35461,98,1698,0.105,1
59,12276,332,2219,0.149,0
62,21619,318,873,0.233,1
50,24629,20,1713,0.241,1
41,29283,576,2418,0.37,1
58,26887,336,3391,0.0,1
53,42732,530,951,0.184,1
27,16425,151,-681,0.194,1
43,25540,483,-928,0.0,0
72,12848,595,-104,0.13,1
35,20622,62,214,0.482,1
48,21087,311,1023,0.0,1
21,21603,723,1790,0.172,1
24,18480,115,1041,0.009,1
47,16969,193,1791,0.204,1
62,31094,276,2281,0.179,1
62,69861,86,1416,0.383,1
33,18398,519,820,0.176,1
71,18975,823,41,0.809,1
63,21286,431,2590,0.255,1
60,30076,500,673,0.167,1
69,12406,122,747,0.032,1
20,24660,585,1480,0.612,1
25,12266,363,791,0.375,0
40,20272,833,311,0.108,0
59,35237,137,1408,0.293,1
65,24759,245,-531,0.211,1
54,29359,391,2339,0.166,0
21,23996,547,2096,0.389,1
72,18060,242,-507,0.064,0
62,27894,149,2585,0.296,1
69,24768,27,1491,0.281,0
22,32584,542,813,0.022,1
65,28471,481,1886,0.146,0
29,27891,278,1416,0.132,1
23,41500,704,1527,0.003,0
50,16264,585,1158,0.103,0
36,41908,148,2374,0.267,1
26,24256,294,1282,0.028,0
50,11652,365,1095,0.057,1
20,32252,101,1249,0.007,1
66,28519,401,-263,0.0,1
21,9000,21,3121,0.264,1
56,18089,307,675,0.186,1
37,10528,611,105,0.051,1
41,9603,275,2018,0.274,1
28,28888,283,282,0.2,1
60,69465,471,1818,0.048,1
52,29081,482,2230,0.298,1
20,10022,541,840,0.0,0
73,35921,1290,692,0.209,1
40,32996,1479,2893,0.12,1
57,15642,793,-268,0.115,0
62,29851,269,872,0.141,1
59,25883,239,2905,0.081,0
22,38863,1128,2038,0.063,1
50,26067,222,4203,0.304,0
69,15952,671,1177,0.41,1
74,22887,236,537,0.234,0
34,27047,390,181,0.72,0
40,9000,504,1051,0.12,1
58,89153,31,1194,0.161,1
49,11933,356,-720,0.638,0
18,12715,1148,-685,0.021,1
52,34510,838,1826,0.251,1
58,25885,367,700,0.409,1
40,27562,131,1866,0.496,1
24,12078,227,-605,0.343,0
66,27150,1195,2588,0.42,1
46,9935,870,1395,0.212,1
23,20781,240,2705,0.143,0
24,26360,460,1061,0.396,1
63,54008,509,1960,0.68,1
40,43406,267,638,0.18,1
74,26340,891,-470,0.418,0
73,25957,613,2691,0.194,1
66,17211,77,887,0.272,1
50,26171,97,1713,0.543,1
53,90208,132,2655,0.171,1
70,29949,575,1004,0.196,1
61,22682,540,320,0.189,1
19,10170,525,99,0.147,0
66,78958,92,2243,0.712,1
41,55753,202,699,0.072,1
36,38274,109,1820,0.282,1
30,14023,1015,267,0.264,1
56,30351,455,1026,0.098,1
39,17469,112,944,0.612,1
43,23081,551,-104,0.071,0
67,23823,910,185,0.461,1
38,33041,736,134,0.13,0
33,40042,590,890,0.329,1
57,26432,1036,1768,0.38,0
44,26900,1365,2006,0.405,1
54,22505,490,446,0.036,1
45,44408,104,1552,0.082,1
26,21164,734,-547,0.303,0
47,22574,328,670,0.452,1
42,62541,181,1672,0.442,1
67,23268,279,1875,0.068,1
23,16233,384,-968,0.07,0
42,46176,125,1618,0.086,1
40,29818,430,1490,0.078,1
35,46548,859,2523,0.172,1
73,13212,30,-152,0.388,1
69,47663,875,2169,0.523,1
57,19716,136,828,0.085,1
73,10647,67,990,0.405,1
74,35408,221,2958,0.243,1
70,20408,347,1427,0.281,1
42,31948,826,2414,0.118,1
52,33066,150,417,0.045,1
29,30383,231,-927,0.361,1
39,31109,139,2277,0.1,1
61,23275,1051,-565,0.161,0
24,12444,435,1666,0.207,0
31,20334,334,-94,0.213,1
44,29991,218,551,0.0,1
29,15111,295,1771,0.762,1
42,16423,531,2782,0.183,0
35,32868,717,1895,0.305,1
54,21947,337,1013,0.155,1
22,26886,537,2707,0.06,1
70,26090,678,1874,0.675,0
41,12319,66,749,0.6,1
72,52505,448,2396,0.057,1
18,17909,366,2110,0.15,1
19,29866,278,653,0.345,1
62,40964,291,2467,0.03,1
23,49836,558,2101,0.338,1
25,37710,467,951,0.058,1
55,56734,369,3237,0.431,1
28,13144,420,964,0.074,1
54,24865,585,-190,0.024,0
53,65398,480,1985,0.079,1
70,24011,205,1499,0.366,0
63,65963,98,1418,0.11,0
39,31163,333,2367,0.25,1
61,24272,223,2035,0.325,1
49,23085,76,677,0.279,1
70,39448,401,1726,0.058,1
27,30138,379,1800,0.528,1
56,15411,227,1439,0.074,1
37,29554,442,641,0.087,1
19,33525,32,2636,0.579,1
23,9930,390,198,0.163,0
42,16554,296,1940,0.591,1
18,20638,238,2777,0.052,1
25,19884,196,-181,0.19,1
42,43077,285,1304,0.038,1
41,37062,217,1295,0.478,1
40,17914,430,1455,0.059,1
70,11944,245,1396,0.17,0
51,15448,861,502,0.187,1
20,74835,59,1589,0.0,1
52,14367,224,1522,0.185,1
21,18682,622,2432,0.071,1
30,40500,174,1282,0.036,1
64,46023,716,104,0.107,1
67,45711,479,2206,0.226,1
32,15145,210,3003,0.215,1
23,36145,372,1109,0.309,1
64,41100,291,2613,0.231,1
35,18836,368,784,0.355,0
42,22475,601,191,0.166,0
45,23054,825,-547,0.492,1
40,21069,425,389,0.061,0
24,34966,329,356,0.062,1
57,71782,213,2832,0.064,1
25,17641,771,932,0.104,0
64,18629,934,1260,0.206,1
27,20493,828,284,0.203,1
26,25020,228,947,0.239,0
31,25306,349,427,0.123,1
50,48736,620,1400,0.238,0
19,26931,489,-552,0.28,0
41,47497,599,1552,0.289,1
33,42790,486,1681,0.327,1
47,11921,156,-771,0.329,1
25,25775,1418,947,0.082,0
57,21353,237,963,0.155,1
55,10262,536,681,0.47,1
52,15990,558,1430,0.319,1
50,45897,892,1238,0.047,1
26,27570,612,1858,0.098,1
56,23331,204,1229,0.136,0
43,24288,342,2718,0.108,0
20,34354,304,1082,0.025,1
23,27455,214,715,0.054,1
66,53492,566,1857,0.016,1
62,29895,1020,-919,0.0,0
37,26943,664,1324,0.11,1
32,22932,463,760,0.216,1
71,35619,66,1214,0.534,1
37,25037,298,1091,0.322,1
30,50748,431,499,0.305,1
42,18134,1791,1036,0.02,1
35,25440,394,2890,0.002,1
22,28254,1468,1304,0.19,0
23,27790,87,121,0.144,1
32,19166,564,-982,0.33,0
57,44353,1507,-316,0.183,1
56,49775,785,2655,0.309,0
22,39019,698,1173,0.193,1
63,19877,1046,2061,0.282,0
61,36792,243,2439,0.063,1
25,24493,430,301,0.113,1
54,17936,1821,981,0.272,0
29,92751,1126,2360,0.63,1
62,47413,140,1217,0.305,1
49,13368,152,-57,0.438,1
29,52930,303,2983,0.041,1
19,24876,1193,792,0.476,0
72,32804,518,966,0.386,1
59,28062,209,464,0.348,1
32,13355,623,882,0.662,0
62,20847,316,-244,0.403,0
49,29624,131,1809,0.188,1
74,36835,266,1726,0.223,0
31,43836,539,1319,0.448,1
58,25635,313,612,0.148,1
57,15986,682,828,0.424,1
26,16761,143,1343,0.248,1
38,37620,1098,1688,0.0,1
21,19955,97,2387,0.268,1
18,36953,694,3086,0.337,0
61,56044,570,1860,0.21,1
29,17574,891,242,0.211,1
19,9000,813,1150,0.325,0
29,17019,536,1212,0.433,1
23,43255,35,2807,0.179,1
45,13189,158,1241,0.672,1
18,35522,207,2172,0.723,1
45,27715,439,946,0.082,0
70,35666,745,832,0.492,1
42,28223,297,1072,0.123,1
29,32098,251,2972,0.015,1
24,36572,543,2019,0.12,1
28,40814,183,2423,0.049,0
52,26682,245,506,0.397,1
46,16853,244,1605,0.301,1
23,61919,510,2171,0.173,1
38,26801,453,2946,0.125,1
38,40166,739,515,0.02,1
34,19756,136,5243,0.468,1
22,29626,665,-508,0.633,1
37,18667,546,1426,0.431,1
41,39269,354,-5,0.117,1
20,23324,64,843,0.011,1
63,17672,347,812,0.065,1
25,23833,75,776,0.12,1
25,37161,185,697,0.285,1
44,52297,638,2201,0.279,1
33,18727,70,-240,0.039,1
37,34707,793,1239,0.234,1
37,23953,503,662,0.099,0
18,24471,1105,393,0.588,1
40,17968,49,1015,0.099,1
40,15198,686,1078,0.0,1
73,68824,891,254,0.209,1
33,16629,259,898,0.009,1
40,34794,776,2651,0.364,1
40,46415,261,1798,0.128,1
70,30644,404,1245,0.059,1
25,49498,334,2502,0.28,1
49,15424,670,-1124,0.163,1
51,46397,718,2812,0.522,1
68,34933,583,2139,0.32,1
21,23406,221,1802,0.178,1
21,9000,301,503,0.012,1
68,27606,78,634,0.155,1
39,28133,505,2403,0.34,1
33,20272,837,805,0.123,0
66,43673,821,1625,0.289,1
33,35143,125,2738,0.339,1
28,28066,304,400,0.316,1
29,23202,116,1923,0.28,1
47,27867,249,1322,0.0,1
63,49237,277,-251,0.176,1
54,18086,427,-565,0.243,1
44,34210,46,669,0.279,1
68,17213,476,274,0.168,1
51,16554,414,1472,0.253,1
49,41883,394,751,0.719,1
30,19258,651,432,0.141,1
63,54103,829,2913,0.074,1
19,25555,430,1950,0.092,1
62,22921,454,-275,0.256,1
58,84600,395,2698,0.131,1
58,18596,192,2206,0.157,1
39,11943,243,1345,0.286,1
36,45161,213,1114,0.437,1
62,19087,1097,-546,0.109,0
36,26956,739,1683,0.119,1
33,24737,212,2611,0.063,1
49,69818,158,1560,0.228,1
24,33976,301,1834,0.017,1
20,26182,1181,-1008,0.181,1
31,17384,243,199,0.514,1
58,19452,526,1662,0.117,1
39,44941,331,1113,0.199,0
47,39153,436,2196,0.245,1
28,20908,535,1519,0.072,0
32,16050,1272,1177,0.274,0
30,27206,616,2559,0.106,1
19,54419,306,1074,0.45,1
36,24876,348,1717,0.16,1
52,33642,447,2243,0.025,1
52,27961,268,792,0.187,1
54,17511,748,326,0.257,1
21,34886,152,1257,0.0,1
41,25309,1103,86,0.47,0
24,62227,46,1429,0.127,1
60,22506,352,2660,0.041,1
22,14345,487,765,0.006,1
69,31405,611,743,0.214,1
72,50057,706,912,0.119,1
31,42528,634,278,0.098,1
54,19691,683,2991,0.612,0
21,26391,402,280,0.227,1
60,26676,694,1452,0.027,1
45,36447,72,1024,0.472,1
61,32483,149,1237,0.002,1
23,21624,977,577,0.276,1
21,21411,73,1222,0.023,0
46,31826,367,1470,0.279,1
59,31105,605,1331,0.0,1
63,39980,508,1634,0.162,1
45,11275,545,795,0.039,0
75,23342,509,2020,0.358,1
47,34378,581,-658,0.345,1
23,28770,249,672,0.494,1
20,16770,499,38,0.0,1
72,33882,174,1525,0.091,1
56,19936,1227,-438,0.312,1
43,51977,539,899,0.251,1
30,19247,1195,-701,0.288,0
42,45110,251,1953,0.124,1
26,28006,215,-1306,0.424,1
22,24963,523,2508,0.184,0
68,29805,440,289,0.29,0
46,13016,254,2565,0.074,1
52,46978,247,2086,0.001,1
23,39522,626,340,0.497,1
41,24859,46,1323,0.379,1
32,27388,555,2656,0.171,0
74,31988,225,-242,0.171,0
30,28411,841,1272,0.19,1
24,34396,552,-280,0.172,1
48,26885,190,1488,0.468,1
32,13932,446,1738,0.142,0
33,14377,628,1421,0.362,1
37,54033,467,775,0.0,1
46,24118,535,2420,0.294,0
50,34996,981,1264,0.25,1
70,39641,474,1891,0.139,1
40,32960,836,951,0.234,0
50,14708,126,847,0.222,1
55,27502,515,539,0.183,1
55,38308,875,1181,0.047,1
74,35685,311,1930,0.313,1
25,12002,21,2694,0.163,1
60,31954,308,565,0.262,1
55,50499,539,2871,0.32,0
26,20856,487,1789,0.585,1
47,56554,149,724,0.161,1
39,9044,525,387,0.0,1
74,32190,534,1826,0.138,0
63,36688,351,2159,0.212,1
34,19106,412,2548,0.35,1
61,12766,761,2007,0.145,0
58,20048,171,-363,0.633,1
25,38217,298,1166,0.076,1
35,24894,94,1148,0.244,1
70,12478,203,2425,0.12,1
51,28887,626,839,0.096,1
19,15252,577,3193,0.054,0
60,28898,436,1024,0.147,1
42,21245,234,1262,0.324,1
54,36430,1161,1711,0.14,1
43,24603,557,1372,0.25,0
18,15753,289,2469,0.359,1
75,22581,515,1196,0.093,1
63,21905,963,-612,0.045,1
58,27791,2101,-1310,0.11,0
75,16889,196,565,0.142,1
71,31978,135,1308,0.137,1
73,19469,133,843,0.1,1
34,16245,329,1333,0.398,1
46,34101,288,2843,0.018,1
60,34711,312,1504,0.202,1
55,19056,219,345,0.267,1
20,29436,701,2626,0.18,1
75,27384,556,1120,0.057,1
24,27625,244,1285,0.093,1
30,49699,185,1354,0.344,1
49,18559,141,882,0.121,1
74,20629,225,2253,0.0,1
30,25672,294,1732,0.14,1
18,19284,378,2216,0.099,1
30,28630,146,1896,0.0,1
65,15808,455,541,0.421,1
45,39804,62,1406,0.496,1
31,74132,304,945,0.565,1
45,36781,735,963,0.089,1
46,44977,483,2687,0.054,1
62,58571,176,2593,0.333,0
58,25625,720,703,0.543,0
27,9244,371,1116,0.1,1
56,14078,178,892,0.107,1
60,61968,125,1889,0.379,1
58,37334,264,254,0.025,1
20,33581,183,1324,0.494,1
70,17848,818,-778,0.402,1
36,24568,376,1727,0.192,0
32,29630,185,1922,0.335,1
57,21424,225,1902,0.08,1
20,31352,260,1898,0.039,1
51,28926,99,448,0.195,1
49,19560,588,-86,0.165,1
22,53029,263,1445,0.0,0
61,28876,27,12,0.415,1
44,30047,284,1038,0.511,1
19,29523,146,1834,0.048,1
44,36818,451,2330,0.012,1
45,43390,803,995,0.14,1
64,18947,474,575,0.122,1
61,12336,628,342,0.174,1
28,32513,932,2150,0.375,1
18,15197,427,-350,0.201,0
54,19946,134,-786,0.296,1
47,47988,893,1382,0.287,0
71,10714,403,127,0.502,0
53,45177,227,2797,0.469,1
20,42767,228,1586,0.176,1
46,16448,175,2231,0.164,1
31,17111,171,1349,0.053,1
43,14269,616,791,0.365,0
25,12882,298,1540,0.304,1
67,27049,877,2791,0.285,1
28,38474,103,2491,0.176,1
22,24086,100,1645,0.056,1
31,13929,253,1844,0.167,1
47,23116,765,-1395,0.347,1
64,27650,164,1240,0.182,1
39,27299,209,1538,0.265,0
28,24196,151,2037,0.118,1
39,28041,293,1192,0.414,1
61,35398,255,245,0.395,1
48,37413,889,1891,0.27,1
72,16297,526,-888,0.148,0
36,17264,29,2760,0.228,1
60,25886,511,1040,0.123,1
55,21430,508,2386,0.04,1
21,17839,647,1356,0.086,1
55,23377,876,896,0.406,1
74,33288,382,2068,0.405,1
31,25434,120,1220,0.062,1
56,40791,296,1363,0.35,1
35,25952,314,653,0.283,1
68,16765,822,2211,0.139,0
25,22267,155,1227,0.035,1
30,24828,384,2411,0.087,1
53,20339,281,2162,0.489,1
23,34323,501,-89,0.0,0
32,29509,860,205,0.243,1
44,19548,404,147,0.502,1
23,18648,186,2259,0.112,0
45,19030,114,1582,0.212,1
24,49479,347,3207,0.088,1
65,31057,266,1603,0.071,1
70,40337,151,337,0.131,1
33,58950,689,1922,0.004,1
35,22548,532,1055,0.397,1
63,15728,62,941,0.0,1
61,23116,78,2427,0.011,1
73,47867,762,1961,0.374,1
50,22046,308,1365,0.093,1
59,27879,692,1820,0.162,1
19,21476,134,1843,0.415,1
34,17368,526,2621,0.63,1
43,33870,659,6,0.036,0
72,24706,932,509,0.037,1
34,33586,505,2385,0.09,1
50,11412,503,-270,0.387,1
54,15944,267,1698,0.0,1
59,57453,511,4002,0.326,1
49,37752,274,732,0.21,1
64,26807,924,662,0.047,1
37,46784,245,1573,0.281,1
62,57969,120,1688,0.282,1
64,32436,379,2179,0.577,1
36,41110,427,1645,0.169,1
60,18380,1234,135,0.209,1
64,20141,432,-834,0.046,1
59,32682,239,1249,0.381,1
75,23299,817,-15,0.239,0
69,32342,426,1222,0.096,1
38,21310,298,197,0.154,1
19,23616,706,-386,0.067,1
27,26365,168,762,0.16,1
57,29099,1175,-310,0.357,0
50,56347,583,1548,0.074,1
20,27286,391,2777,0.308,1
48,41916,171,999,0.055,1
30,32131,191,-359,0.137,1
23,15421,1240,1548,0.503,1
21,32805,805,2212,0.196,1
62,20380,268,1934,0.329,1
39,31791,88,1250,0.195,0
50,41645,191,-37,0.215,1
46,28119,47,1165,0.415,1
21,16550,694,-324,0.419,1
37,24828,200,27,0.471,1
55,16101,243,1793,0.093,1
48,46089,691,455,0.21,1
41,60930,1409,1384,0.442,1
24,15634,556,849,0.292,1
23,26972,182,-145,0.026,1
57,42550,118,2597,0.0,1
19,18734,288,405,0.072,1
70,14653,56,1609,0.222,1
49,31184,257,-50,0.575,1
44,46968,94,1949,0.364,0
29,25591,157,923,0.006,1
56,32358,304,846,0.24,1
64,74079,925,1165,0.247,0
61,26518,847,1215,0.051,1
56,30738,266,78,0.462,1
43,28452,37,1539,0.047,1
40,15573,198,590,0.313,1
32,13116,612,2482,0.217,0
28,16250,159,2827,0.183,1
20,31208,642,-197,0.308,1
52,38012,503,2462,0.387,1
42,46790,666,943,0.14,1
67,21284,524,-481,0.136,0
57,23697,781,877,0.2,1
31,68601,593,1214,0.274,1
50,33017,137,579,0.229,1
34,26288,265,775,0.32,1
62,28608,786,810,0.154,1
58,41866,407,1424,0.139,1
18,20870,611,869,0.607,1
25,30058,2018,636,0.147,1
65,19277,196,-97,0.012,1
27,48592,170,1249,0.097,1
39,24925,886,1622,0.243,0
59,17317,330,1166,0.449,1
44,22350,591,787,0.175,0
37,21376,890,0,0.077,0
32,34157,24,2413,0.055,1
66,30008,497,508,0.045,0
40,55871,40,1539,0.351,1
63,28936,171,42,0.033,1
21,39301,291,1703,0.301,1
60,15480,510,517,0.044,1
25,27853,248,3363,0.256,1
48,21777,183,1557,0.347,1
22,14572,407,114,0.0,0
70,10683,151,412,0.066,1
70,34235,145,1854,0.255,1
44,31539,400,-79,0.175,0
62,41176,390,1027,0.3,1
73,14865,437,1284,0.261,1
41,26751,190,425,0.254,1
42,25597,318,3350,0.149,1
54,31808,504,1279,0.048,1
64,26041,482,1663,0.062,1
75,34824,220,705,0.125,1
34,17076,653,-114,0.194,1
21,28456,104,290,0.185,1
19,25692,427,1546,0.606,1
73,55319,591,3175,0.192,1
19,18071,666,993,0.056,0
60,31869,119,2186,0.019,1
21,11988,807,-709,0.529,1
55,41336,107,-910,0.007,1
31,25258,75,2066,0.49,1
75,31686,396,859,0.303,1
51,25445,27,2171,0.167,1
44,22922,259,-895,0.338,1
28,26975,335,1979,0.339,1
65,46829,456,813,0.092,1
69,34769,316,455,0.091,1
51,27308,520,1042,0.309,1
45,24538,831,1412,0.155,0
58,19039,500,1408,0.064,1
48,17998,352,2097,0.16,1
46,43565,219,1937,0.322,1
41,18416,220,1106,0.464,1
20,34914,730,1682,0.114,1
58,15059,199,1194,0.139,1
64,21464,1006,1298,0.389,0
75,22089,142,1008,0.407,1
46,44220,468,908,0.411,1
47,36371,325,500,0.065,1
45,23654,109,-478,0.096,1
20,18987,410,-435,0.127,1
40,26093,1446,1759,0.359,0
60,16026,141,1379,0.291,1
23,49535,718,1408,0.025,1
32,45397,388,578,0.03,1
26,32271,64,1965,0.183,1
22,13488,100,-1189,0.293,1
49,32355,273,509,0.289,1
64,12837,567,107,0.091,0
31,31961,309,753,0.191,1
65,22881,245,2897,0.109,1
18,38775,572,2001,0.477,1
68,30496,105,286,0.108,1
21,30097,351,1381,0.488,1
46,15019,232,1520,0.094,0
49,17233,493,3309,0.122,1
23,18020,650,725,0.367,0
45,51718,342,597,0.012,1
66,55798,441,1484,0.24,1
51,19049,1288,-887,0.204,0
28,75816,213,3061,0.061,1
65,57417,838,2931,0.225,1
31,26904,173,2248,0.131,1
22,23475,268,1838,0.05,0
19,44635,147,774,0.345,1
25,81777,274,4125,0.085,1
30,49566,320,928,0.21,1
68,23325,108,1016,0.419,1
62,29501,293,1370,0.749,1
59,32335,1218,632,0.088,1
72,47901,562,2691,0.047,1
36,21271,381,1513,0.132,1
57,18739,248,1073,0.107,1
51,16505,1123,2105,0.249,0
40,30006,57,745,0.0,1
30,28277,525,3449,0.55,1
54,23036,196,2344,0.531,1
57,55210,810,1363,0.494,0
18,43601,427,1808,0.531,1
65,27933,637,-635,0.205,0
19,19157,352,-140,0.389,1
39,20965,140,-98,0.077,1
42,26557,742,1494,0.656,1
39,30081,62,2724,0.127,1
58,25433,353,337,0.316,1
39,17635,538,63,0.398,0
44,24657,340,396,0.143,1
32,37340,139,2496,0.323,1
63,13822,587,1331,0.147,1
39,31564,323,1708,0.252,1
32,11497,770,-1425,0.538,0
57,20656,331,1987,0.478,1
72,39581,728,1213,0.0,1
65,27391,331,2569,0.674,1
74,32541,589,896,0.26,1
41,32908,629,782,0.324,1
19,35867,1035,1488,0.313,1
22,27986,420,1603,0.478,1
62,14590,566,2114,0.037,1
40,12258,335,-185,0.4,1
56,37760,620,752,0.209,1
56,21259,127,2264,0.255,1
53,25609,420,1395,0.408,1
64,23710,271,1951,0.457,1
21,20265,406,2110,0.249,1
24,28268,196,479,0.057,1
29,13113,760,1179,0.336,1
69,31541,623,1172,0.005,1
49,32992,616,2278,0.29,1
41,38109,373,226,0.081,1
40,17033,1059,-115,0.163,1
72,31901,732,967,0.109,1
55,19465,464,1074,0.052,1
26,29374,64,2439,0.086,0
46,20372,847,1320,0.103,0
43,20479,237,1595,0.117,1
58,39803,834,1255,0.078,1
33,25486,73,1155,0.48,1
50,25983,245,-673,0.22,1
26,67338,318,2900,0.16,1
53,79624,195,2437,0.169,0
58,29233,383,-539,0.074,0
48,32333,1357,1929,0.225,1
44,27402,106,1581,0.138,1
73,25994,13,2639,0.175,1
71,14000,378,-324,0.507,1
37,51397,165,1712,0.225,1
39,22763,1590,-824,0.04,0
42,20700,534,513,0.2,0
61,40104,727,894,0.181,1
38,47069,83,2571,0.557,1
42,38355,399,-210,0.388,1
29,15914,400,346,0.161,1
49,30758,525,3132,0.458,0
63,20620,906,-1164,0.361,1
52,30157,1046,1552,0.343,1
53,39012,387,865,0.181,1
36,36807,610,2323,0.457,1
28,30115,872,2061,0.341,1
44,20907,300,1091,0.187,1
22,54432,199,2762,0.325,1
50,11236,609,-426,0.109,1
61,37323,279,1111,0.089,1
63,24570,346,428,0.083,1
35,40040,1027,1535,0.003,1
29,15967,634,883,0.358,1
54,33323,584,1567,0.081,1
73,41930,158,954,0.045,0
44,18996,433,557,0.0,1
65,28068,497,894,0.081,0
53,34163,265,1742,0.118,1
48,29366,440,-228,0.247,0
33,17122,543,1969,0.116,1
72,28177,956,885,0.317,1
52,11903,289,1884,0.181,1
18,38443,383,2502,0.123,1
27,28393,1058,663,0.093,1
69,33565,154,1889,0.187,1
45,23037,223,-380,0.109,1
25,35966,311,1531,0.083,1
60,51766,61,1381,0.373,1
57,16138,1045,-1175,0.101,1
46,40635,1102,1212,0.37,0
40,24318,304,1623,0.296,1
67,48429,186,1660,0.085,1
30,48719,513,2486,0.101,1
41,39555,214,1164,0.31,1
31,35077,849,2873,0.491,1
54,24274,421,3083,0.106,1
25,32544,785,1650,0.05,0
44,31761,430,-97,0.096,1
23,11198,629,220,0.269,1
47,22263,420,-725,0.209,1
23,20789,770,308,0.267,1
53,24726,1172,547,0.248,1
44,18358,159,1293,0.138,1
37,18044,479,1451,0.438,1
28,12690,640,1301,0.222,1
48,48967,143,2513,0.064,1
51,13976,333,397,0.275,1
63,23426,626,1619,0.297,1
27,28294,174,1095,0.117,1
