age,annual_income,monthly_debt,property_price,deposit_amount,requested_loan,mortgage_term_years,ltv,max_borrow_amount,risk_band,approved
47,34498,1407,206248,91885,114363,30,55.4,141606,Low,1
19,38960,309,235349,66538,168811,25,71.7,168009,Low,1
32,36564,618,157950,43505,114445,25,72.5,162562,Low,1
39,31037,185,242637,63724,178913,30,73.7,140638,Low,0
72,26522,688,276349,37969,238380,30,86.3,118838,High,0
23,79553,865,266606,49314,217292,15,81.5,389497,Low,1
55,40915,218,181121,33050,148071,30,81.8,214415,Low,1
30,23653,874,176350,15103,161247,35,91.4,92898,High,0
38,58666,494,287659,28139,259520,15,90.2,218168,Medium,1
68,23854,622,242879,47421,195458,30,80.5,91381,High,0
52,50260,1007,186761,49705,137056,25,73.4,216161,Low,1
20,48901,417,142115,40910,101205,25,71.2,224374,Low,1
45,31724,676,230495,30732,199763,30,86.7,140494,High,0
46,71627,1170,377466,87720,289746,30,76.8,250050,Medium,0
29,141981,215,204647,46939,157708,30,77.1,625576,Low,1
43,32273,248,120000,19618,100382,30,83.7,143906,Low,1
68,47169,456,189921,16724,173197,25,91.2,214365,Low,1
62,30659,684,159024,29750,129274,35,81.3,107733,High,1
45,32353,380,240036,88010,152026,25,63.3,131886,Low,1
32,37805,271,145685,31451,114234,20,78.4,176099,Low,1
63,50270,180,239431,40100,199331,30,83.3,222199,Low,1
20,28603,416,186219,28029,158190,15,84.9,131337,Medium,1
58,35664,371,183451,19295,164156,30,89.5,136882,Medium,0
61,45199,1347,237975,47558,190417,35,80.0,176456,High,0
61,64882,1483,165495,29919,135576,15,81.9,249951,Low,1
45,46837,57,388217,107705,280512,25,72.3,220843,Low,1
65,26573,694,277837,73646,204191,20,73.5,131352,Medium,1
38,42960,488,223869,17417,206452,25,92.2,206499,Medium,1
71,25214,722,182255,28074,154181,30,84.6,83294,High,1
47,53803,476,207949,37715,170234,25,81.9,221773,Low,1
26,34685,621,205486,31131,174355,20,84.9,142256,Medium,0
42,34618,465,261433,73164,188269,25,72.0,155678,Low,1
36,30703,382,247850,60796,187054,25,75.5,145204,Low,1
63,47461,525,200005,33591,166414,25,83.2,193593,Low,0
33,40597,1160,137672,9411,128261,15,93.2,179080,Low,1
75,44487,472,263441,23499,239942,25,91.1,212734,Medium,1
68,43210,257,311785,39090,272695,20,87.5,190683,Medium,0
66,37512,274,262542,65668,196874,20,75.0,142618,Low,1
27,32733,635,351036,105875,245161,30,69.8,142226,Medium,0
21,40394,294,221775,49428,172347,30,77.7,141665,Low,0
38,40194,774,239051,23686,215365,20,90.1,162308,Medium,1
61,61565,865,182221,41439,140782,25,77.3,210072,Low,1
24,24850,1055,158824,12015,146809,30,92.4,108741,High,0
59,37972,999,223326,24878,198448,25,88.9,153424,High,0
50,40945,814,146131,34442,111689,25,76.4,217793,Low,1
24,32325,552,209452,93651,115801,20,55.3,149748,Low,1
75,33595,700,196806,54859,141947,25,72.1,161376,Low,0
28,36102,346,188475,71031,117444,35,62.3,187741,Low,1
33,39860,438,120000,11412,108588,15,90.5,208559,Low,1
49,52283,481,256554,36416,220138,20,85.8,231657,Low,1
74,35467,537,251247,41433,209814,20,83.5,129904,High,0
57,34963,437,250678,54321,196357,25,78.3,149239,Medium,1
40,27602,456,142397,46746,95651,20,67.2,129366,Low,1
74,50730,837,227050,24658,202392,25,89.1,251830,Low,1
28,62992,745,120000,19026,100974,30,84.1,299425,Low,1
60,46337,718,275146,42543,232603,25,84.5,165946,High,0
46,30643,825,205415,19489,185926,25,90.5,122140,High,1
65,29324,582,175840,48231,127609,20,72.6,126654,Low,0
66,27549,482,174522,26360,148162,20,84.9,124883,Medium,0
28,37053,667,226447,32322,194125,25,85.7,149040,Medium,0
54,21802,129,188643,39519,149124,30,79.1,83703,Medium,0
22,87142,302,311505,90812,220693,35,70.8,391231,Low,1
29,31479,287,248714,41081,207633,15,83.5,151416,Medium,1
37,51893,362,212970,52229,160741,35,75.5,211789,Low,1
62,61832,651,168859,29483,139376,15,82.5,250763,Low,1
46,28715,1534,190572,48382,142190,30,74.6,88349,High,0
21,42791,301,251886,47589,204297,30,81.1,166557,Low,1
34,28156,483,213493,40410,173083,30,81.1,140406,Medium,0
59,48435,388,243151,46983,196168,25,80.7,178470,Medium,1
47,26034,383,231532,36757,194775,20,84.1,117384,Medium,0
63,18849,183,338699,53585,285114,20,84.2,84901,High,1
34,33304,334,391558,96045,295513,25,75.5,154696,Medium,0
20,38097,620,156974,42976,113998,30,72.6,148333,Low,1
44,48369,822,305790,27352,278438,15,91.1,202215,Medium,0
32,39636,558,252598,51696,200902,30,79.5,191462,Low,0
66,32614,545,133107,33477,99630,25,74.8,130019,Low,1
21,45784,85,167849,33120,134729,30,80.3,223938,Low,1
32,23964,479,161879,16217,145662,25,90.0,102553,High,0
44,28549,220,217483,27956,189527,30,87.1,116300,Medium,1
45,33280,135,303712,27284,276428,20,91.0,171275,Medium,0
28,31885,607,253724,22416,231308,25,91.2,112632,High,0
52,43220,1449,246219,83699,162520,30,66.0,149660,Medium,0
34,47086,322,325521,81598,243923,15,74.9,219268,Low,1
21,34864,204,208323,55208,153115,35,73.5,176344,Low,1
18,40935,295,128861,11000,117861,20,91.5,195869,Low,1
59,29676,965,229556,23372,206184,25,89.8,141773,High,0
62,37222,469,293866,20173,273693,25,93.1,149133,High,0
50,42245,108,198325,79567,118758,30,59.9,176393,Low,1
41,32298,23,223616,69441,154175,20,68.9,134883,Low,0
58,61495,407,120000,20496,99504,20,82.9,250926,Low,0
53,38683,618,163556,27347,136209,15,83.3,170736,Low,1
27,33323,100,172100,15892,156208,25,90.8,142428,Low,0
43,75297,583,340218,101069,239149,20,70.3,345301,Low,1
72,37277,444,183917,28164,155753,30,84.7,166807,Medium,1
35,35415,532,136446,26456,109990,25,80.6,162584,Low,1
48,19044,1123,194297,16922,177375,30,91.3,85017,High,0
21,30550,307,120000,22673,97327,35,81.1,138916,Low,1
24,24560,165,171834,25678,146156,20,85.1,79335,Medium,1
47,37717,484,246525,23868,222657,30,90.3,136747,High,0
62,49224,533,262520,63669,198851,25,75.7,243617,Low,1
62,15696,696,275473,30274,245199,15,89.0,53952,High,0
33,23067,365,193475,31131,162344,15,83.9,94295,Medium,1
71,48282,202,417627,107852,309775,15,74.2,203404,Low,1
63,30996,541,163019,44599,118420,25,72.6,150830,Low,1
60,27063,988,480679,48476,432203,25,89.9,102057,High,1
69,70390,236,198180,16391,181789,25,91.7,247675,Low,1
20,20127,429,162882,41408,121474,25,74.6,82502,Medium,0
25,38170,201,280438,42184,238254,20,85.0,188222,Low,1
40,23841,896,156494,18204,138290,35,88.4,102640,High,0
59,37519,727,138234,13811,124423,35,90.0,138929,Medium,1
65,30417,275,188279,49291,138988,25,73.8,135493,Low,0
54,43674,646,152510,33989,118521,30,77.7,179333,Low,1
21,42899,1059,306562,60373,246189,30,80.3,187098,Medium,1
72,31865,789,219580,62129,157451,20,71.7,140497,Medium,1
62,69751,400,128718,26424,102294,30,79.5,288191,Low,1
69,50210,395,198009,14936,183073,30,92.5,201230,Medium,1
22,45242,387,120000,37167,82833,25,69.0,169594,Low,1
65,34058,340,152601,33064,119537,35,78.3,156153,Low,1
29,47753,1054,143713,18969,124744,25,86.8,211791,Low,1
23,18292,436,152980,16336,136644,25,89.3,73492,High,1
50,27398,408,252205,63068,189137,25,75.0,108644,Medium,1
36,46673,1016,203210,46060,157150,25,77.3,187643,Low,1
26,36147,248,176287,36026,140261,25,79.6,143693,Low,1
50,34148,390,173012,45902,127110,30,73.5,158829,Low,1
20,82004,661,233829,24696,209133,30,89.4,363608,Low,1
66,23405,800,138322,21142,117180,30,84.7,101311,High,0
21,44769,1091,272481,38916,233565,25,85.7,185942,Medium,0
56,48045,159,187836,43981,143855,30,76.6,190213,Low,1
37,28347,138,279649,52139,227510,25,81.4,120928,Medium,0
41,42439,515,190831,44089,146742,20,76.9,201189,Low,1
28,30403,431,236670,56622,180048,30,76.1,106607,Medium,1
60,16539,235,247864,82310,165554,20,66.8,79269,Medium,1
52,25313,331,182705,11114,171591,30,93.9,113723,High,0
20,47414,495,168887,37597,131290,25,77.7,210734,Low,1
73,41592,768,379014,47938,331076,25,87.4,127351,High,0
40,46978,404,191170,32829,158341,25,82.8,221080,Low,1
57,38344,706,175901,33213,142688,20,81.1,157664,Low,1
62,46844,912,250938,43294,207644,25,82.7,216364,Medium,0
59,35042,393,120000,28458,91542,25,76.3,167458,Low,1
22,23279,353,120000,26003,93997,20,78.3,81036,Low,0
50,53595,198,363274,41826,321448,25,88.5,235446,Medium,1
69,27029,745,297476,54384,243092,25,81.7,118027,High,0
74,38374,973,221331,24566,196765,15,88.9,185447,Medium,1
34,32583,538,131692,28681,103011,25,78.2,162071,Low,1
40,80944,1135,203618,47970,155648,30,76.4,322956,Low,1
58,30916,212,294842,88656,206186,30,69.9,143046,Low,0
49,39601,877,217213,46432,170781,30,78.6,151735,Medium,0
18,44793,568,240772,44005,196767,30,81.7,203864,Low,1
52,44854,165,235575,77964,157611,35,66.9,193839,Low,1
58,60799,453,147518,37117,110401,30,74.8,237976,Low,1
40,45156,609,172843,54243,118600,20,68.6,236064,Low,1
24,48126,336,133210,32886,100324,15,75.3,164518,Low,1
66,78820,794,147526,37561,109965,25,74.5,232823,Low,1
46,25500,440,161210,29260,131950,30,81.8,134844,Medium,1
23,43351,552,126583,24109,102474,25,81.0,207253,Low,1
24,55025,539,135583,40055,95528,30,70.5,214720,Low,1
63,18524,157,120000,12418,107582,20,89.7,97962,Medium,0
40,68561,768,176213,37823,138390,25,78.5,272362,Low,1
74,57989,231,147443,39046,108397,25,73.5,261829,Low,1
73,20475,320,134409,19484,114925,25,85.5,93375,Medium,1
66,59394,1121,301315,41814,259501,20,86.1,273499,Medium,1
50,36903,719,306693,40043,266650,30,86.9,156594,High,0
53,55666,470,181628,34890,146738,15,80.8,275011,Low,1
70,52430,171,247985,36462,211523,25,85.3,226338,Low,0
61,27688,275,231148,29937,201211,20,87.0,101390,High,0
19,36321,810,161883,42785,119098,30,73.6,160008,Low,1
66,43776,1061,242260,43893,198367,25,81.9,147341,High,0
41,28674,544,167161,14391,152770,20,91.4,138628,Medium,1
36,54801,789,363313,44442,318871,25,87.8,211762,Medium,0
30,24129,969,279026,73335,205691,30,73.7,104158,High,0
56,61000,1495,238206,69786,168420,25,70.7,274434,Low,1
39,79177,116,151168,55415,95753,25,63.3,336551,Low,1
43,39014,770,261863,53257,208606,25,79.7,164905,Medium,1
67,38426,915,173904,69691,104213,25,59.9,161142,Low,1
38,34747,233,143495,19296,124199,35,86.6,134081,Low,1
33,34015,284,204447,12601,191846,35,93.8,146204,High,0
57,28700,193,126098,12932,113166,25,89.7,98486,Medium,0
44,41234,409,216403,42301,174102,25,80.5,165393,Low,1
54,30708,557,232373,74722,157651,30,67.8,122232,Medium,0
45,39595,546,240747,27448,213299,30,88.6,162328,Medium,1
26,25437,375,120000,28660,91340,35,76.1,101934,Low,1
47,42185,204,521659,107024,414635,25,79.5,194666,Medium,1
42,32266,52,137776,59010,78766,30,57.2,131982,Low,1
67,28687,323,181594,23462,158132,35,87.1,130668,Medium,0
23,24979,812,193646,10291,183355,25,94.7,127491,High,0
42,48611,284,240486,63049,177437,30,73.8,240875,Low,1
40,23036,218,198120,78076,120044,20,60.6,114207,Low,1
35,45106,798,270885,29440,241445,25,89.1,217305,Medium,1
73,40274,493,143549,24329,119220,25,83.1,172532,Low,1
69,55326,263,145768,15369,130399,25,89.5,202988,Low,1
57,45656,84,234958,29324,205634,30,87.5,198939,Medium,1
73,26869,151,124965,18977,105988,35,84.8,140990,Low,1
74,44717,403,453865,51288,402577,25,88.7,151869,High,1
70,39149,1003,191411,40642,150769,30,78.8,170345,Medium,1
42,33046,333,230177,49267,180910,20,78.6,155727,Low,0
52,25153,430,268147,67294,200853,25,74.9,102088,High,0
29,66037,590,134103,24252,109851,15,81.9,265276,Low,1
39,56028,382,211219,62468,148751,35,70.4,196483,Low,1
61,32010,570,203550,21357,182193,25,89.5,181484,Medium,1
24,40501,334,460119,69651,390468,25,84.9,201783,Medium,0
31,40377,687,185093,43746,141347,35,76.4,164136,Low,1
44,32534,263,192523,60235,132288,15,68.7,145302,Low,1
29,31386,141,200717,23210,177507,30,88.4,137063,Medium,0
42,30232,296,402404,45606,356798,20,88.7,149496,High,0
35,27963,229,160671,31334,129337,35,80.5,87587,Medium,1
54,31725,387,124679,20612,104067,25,83.5,114131,Low,1
22,45497,475,193083,26607,166476,20,86.2,176317,Low,0
70,24900,816,155837,21380,134457,30,86.3,107209,High,1
41,57917,677,143965,34777,109188,25,75.8,229704,Low,1
72,48781,321,144537,41603,102934,20,71.2,169356,Low,1
18,82941,177,197997,42867,155130,20,78.3,395749,Low,1
19,42669,289,289832,116793,173039,25,59.7,167530,Low,1
62,35703,143,259738,39319,220419,30,84.9,152054,Medium,1
23,27554,258,215605,59767,155838,25,72.3,124720,Low,1
25,23351,522,184091,18887,165204,20,89.7,113112,High,0
55,33596,680,331091,126882,204209,30,61.7,157163,Low,0
28,51646,631,120553,13176,107377,25,89.1,233899,Low,1
54,36612,335,184183,23546,160637,20,87.2,148223,Low,1
53,42896,414,160113,37701,122412,30,76.5,208702,Low,1
70,35782,335,295185,48817,246368,25,83.5,176175,Medium,0
63,15205,401,133715,46370,87345,30,65.3,70221,Medium,1
39,98738,443,254907,58763,196144,35,76.9,322196,Low,1
61,26355,265,141408,19208,122200,20,86.4,106308,Medium,0
49,63304,226,188198,27586,160612,35,85.3,276899,Low,1
70,50108,338,157626,27464,130162,20,82.6,227016,Low,1
27,31450,144,160577,43727,116850,15,72.8,112114,Low,0
56,22453,1394,152861,38284,114577,25,75.0,88377,High,0
37,18391,355,303642,60956,242686,20,79.9,75401,High,0
19,54659,360,160857,49207,111650,25,69.4,200140,Low,1
23,30897,370,202897,52328,150569,25,74.2,118185,Low,1
42,26217,470,293766,37708,256058,30,87.2,107736,High,0
18,19903,197,193516,49818,143698,20,74.3,88579,Low,1
25,34164,787,331789,84059,247730,35,74.7,148737,Medium,0
42,34785,435,239969,69199,170770,30,71.2,135787,Low,1
41,28849,501,166762,13768,152994,20,91.7,123800,Medium,0
40,67275,740,136797,25354,111443,25,81.5,250416,Low,1
70,55032,305,206330,26131,180199,30,87.3,224157,Low,1
51,28873,270,242818,46684,196134,25,80.8,108353,Medium,1
20,45180,245,153157,11737,141420,30,92.3,200785,Low,1
52,50130,763,120000,15551,104449,35,87.0,202015,Low,1
21,62463,500,152692,28588,124104,20,81.3,235044,Low,1
30,42586,420,195464,54836,140628,30,71.9,162783,Low,1
64,57436,307,202472,22842,179630,25,88.7,227191,Low,1
67,71798,230,120000,26022,93978,30,78.3,359437,Low,1
32,47007,467,221996,66144,155852,30,70.2,190784,Low,1
23,32382,466,221740,56679,165061,20,74.4,145698,Low,1
64,21706,663,120000,34496,85504,30,71.3,71075,Medium,1
35,63718,125,120000,20666,99334,25,82.8,294624,Low,1
42,21850,326,202134,43431,158703,20,78.5,81781,Medium,0
45,53165,322,173269,48977,124292,25,71.7,255044,Low,1
40,47384,319,189781,36719,153062,25,80.7,198461,Low,1
24,47139,128,166025,17501,148524,30,89.5,201696,Low,1
57,60164,1036,157171,24012,133159,15,84.7,267643,Low,1
25,20223,164,309359,36121,273238,25,88.3,74774,High,0
64,38212,161,166127,14349,151778,25,91.4,181928,Low,1
27,36219,303,221103,40949,180154,30,81.5,173224,Low,0
26,68440,240,177505,20293,157212,25,88.6,342454,Low,1
31,18415,429,223543,55238,168305,25,75.3,77960,Medium,1
50,26572,638,254371,67864,186507,30,73.3,140242,Medium,1
19,32096,854,209892,24419,185473,25,88.4,137880,High,1
41,40854,675,185902,59786,126116,25,67.8,164850,Low,0
33,69779,325,131356,21338,110018,25,83.8,307201,Low,1
47,25494,268,252032,24496,227536,15,90.3,109746,High,0
25,21488,582,203338,33496,169842,20,83.5,86795,High,0
57,34931,944,226378,63956,162422,30,71.7,167448,Medium,0
55,41046,1005,192746,54793,137953,30,71.6,198405,Low,1
52,20468,331,188282,33250,155032,25,82.3,108343,Medium,0
50,32838,245,306094,41761,264333,30,86.4,141713,High,0
26,42434,798,386175,61990,324185,30,83.9,186726,High,0
56,64665,1433,120000,10839,109161,30,91.0,215246,Low,1
43,20972,405,143017,10498,132519,35,92.7,90356,High,0
20,67667,55,197342,30607,166735,30,84.5,289660,Low,1
23,29826,125,620858,214309,406549,25,65.5,153406,Low,1
66,29322,1080,268228,25481,242747,30,90.5,116275,High,0
62,52842,796,120000,31332,88668,30,73.9,254423,Low,1
37,68186,98,189166,68023,121143,30,64.0,333359,Low,1
32,27532,533,176758,23099,153659,30,86.9,136505,Medium,1
71,45887,636,289556,46483,243073,30,83.9,177586,High,0
37,25235,480,186475,46953,139522,15,74.8,84040,Medium,0
30,14490,367,171275,18476,152799,30,89.2,61061,High,1
42,58347,263,138680,29222,109458,30,78.9,278899,Low,1
35,45146,915,134789,26657,108132,30,80.2,175819,Low,1
22,43971,171,337970,71450,266520,25,78.9,188470,Low,0
23,29456,408,129547,30331,99216,30,76.6,139469,Low,1
32,33989,2619,293532,40893,252639,25,86.1,112704,High,1
57,20864,1499,170062,43860,126202,25,74.2,72738,High,0
56,57181,480,208847,34543,174304,25,83.5,293426,Low,1
22,41267,743,142432,25338,117094,25,82.2,211265,Low,1
63,35108,1352,184804,26352,158452,25,85.7,148559,High,1
61,43563,411,207953,44379,163574,20,78.7,172549,Low,1
25,45790,427,268711,69128,199583,30,74.3,223282,Low,1
54,41090,374,256652,42417,214235,20,83.5,208410,Low,0
29,40851,201,160026,32535,127491,15,79.7,173281,Low,1
62,34599,369,156495,50872,105623,35,67.5,155361,Low,1
49,45066,554,299222,17146,282076,25,94.3,181989,High,1
29,111126,249,238570,43546,195024,25,81.7,425710,Low,1
19,27685,241,260778,50875,209903,15,80.5,117408,Medium,0
72,60187,843,270206,121593,148613,35,55.0,260450,Low,1
59,71203,432,170610,26326,144284,25,84.6,319579,Low,1
32,22448,213,146722,44185,102537,35,69.9,114501,Low,1
62,45777,939,146883,29874,117009,15,79.7,198548,Low,1
49,33048,132,229817,50964,178853,35,77.8,133808,Medium,0
74,35142,1197,255635,81712,173923,30,68.0,132962,Medium,0
31,49222,567,218659,53681,164978,35,75.4,188676,Low,1
58,53683,770,158326,37430,120896,25,76.4,265554,Low,1
57,73452,309,271671,54070,217601,30,80.1,377636,Low,1
26,44630,44,214377,27307,187070,25,87.3,201994,Low,1
38,47424,618,153884,40814,113070,25,73.5,206721,Low,1
21,37851,622,261643,22296,239347,20,91.5,168447,Medium,1
18,26998,250,219293,19763,199530,30,91.0,104131,High,0
61,30524,131,316388,67089,249299,20,78.8,103568,Medium,0
29,40974,518,120000,36228,83772,25,69.8,171128,Low,1
19,16825,124,136680,17567,119113,25,87.1,77217,Medium,1
29,42980,279,155324,22526,132798,25,85.5,177035,Low,1
23,30915,1239,281368,48668,232700,25,82.7,160742,High,1
45,34798,1387,212038,25460,186578,35,88.0,118877,High,1
18,30189,505,138634,19446,119188,25,86.0,125529,Low,1
45,52268,130,231938,73237,158701,25,68.4,220881,Low,1
70,14925,267,162371,30684,131687,30,81.1,68958,High,0
42,43084,676,282754,85547,197207,25,69.7,191415,Low,0
29,37083,706,242000,60553,181447,30,75.0,158055,Low,1
24,18820,256,120000,19653,100347,35,83.6,88182,Medium,1
28,33339,474,120000,40607,79393,30,66.2,155672,Low,1
52,28400,228,248665,53433,195232,30,78.5,150814,Medium,0
46,28810,676,264028,32067,231961,35,87.9,126544,High,0
23,46171,366,231012,32992,198020,30,85.7,149091,Medium,1
38,19657,689,302169,29808,272361,35,90.1,81401,High,0
38,21130,913,176478,25148,151330,20,85.8,89452,High,0
34,61169,616,258832,57755,201077,25,77.7,298508,Low,1
22,15741,522,194456,67149,127307,25,65.5,58519,Medium,0
37,30630,775,234556,70347,164209,15,70.0,122451,Low,1
41,64851,520,134032,38014,96018,35,71.6,321902,Low,1
20,33957,727,257454,51800,205654,30,79.9,139538,Medium,1
63,40310,505,178821,27046,151775,35,84.9,184112,Low,1
25,55853,237,194524,30748,163776,25,84.2,204458,Low,1
25,45483,431,137013,22341,114672,25,83.7,185559,Low,1
44,57517,24,165730,25931,139799,25,84.4,266431,Low,1
33,26048,621,195617,31079,164538,15,84.1,113878,Medium,0
37,27082,350,191247,23178,168069,30,87.9,126348,Medium,1
37,38227,616,223685,22247,201438,25,90.1,162479,Medium,0
18,82991,844,203927,32375,171552,25,84.1,342222,Low,1
40,26869,370,182947,56687,126260,30,69.0,116031,Low,1
40,37211,684,184041,39439,144602,15,78.6,115773,Low,1
73,44539,312,163253,21495,141758,20,86.8,182028,Low,1
33,38531,175,241280,19820,221460,25,91.8,148970,Medium,0
40,31063,383,158335,46967,111368,15,70.3,123871,Low,1
40,44615,395,172297,26904,145393,35,84.4,208924,Low,1
70,31527,495,217785,47934,169851,25,78.0,125487,Medium,1
25,38799,511,208322,62639,145683,20,69.9,150345,Low,1
49,26689,944,236289,53755,182534,15,77.3,111094,High,0
51,36430,723,219477,29630,189847,25,86.5,139323,High,0
68,40471,1689,227397,28705,198692,35,87.4,165223,High,0
21,18243,205,161649,23842,137807,20,85.3,84740,Medium,0
21,24364,493,180692,14632,166060,25,91.9,81047,High,0
68,77993,1343,120000,28501,91499,15,76.2,352592,Low,1
39,37949,150,169506,55273,114233,25,67.4,164337,Low,1
33,44046,124,151110,16820,134290,25,88.9,164116,Low,1
66,61553,238,120000,29516,90484,35,75.4,286233,Low,1
33,46830,508,165181,12857,152324,30,92.2,246512,Low,1
28,28051,756,231724,74417,157307,25,67.9,102028,Medium,0
29,42697,883,216147,32785,183362,25,84.8,186847,Medium,0
47,54106,1412,177736,37370,140366,30,79.0,268764,Low,1
63,48955,512,134866,42528,92338,20,68.5,207564,Low,1
54,26667,201,339233,25329,313904,25,92.5,100712,High,1
44,31449,506,242765,79735,163030,15,67.2,119231,Low,0
68,25960,1625,225374,41388,183986,25,81.6,93405,High,0
51,30578,727,144868,32597,112271,25,77.5,122377,Medium,1
49,21904,259,271427,33742,237685,25,87.6,105422,High,0
30,29782,181,254565,95924,158641,30,62.3,121259,Low,1
63,97292,65,228396,23714,204682,25,89.6,451540,Low,1
19,37883,1169,195964,21067,174897,35,89.2,134256,High,0
62,52559,97,144777,12854,131923,30,91.1,175838,Low,1
58,33392,72,120000,20056,99944,20,83.3,156098,Low,1
58,25099,555,215719,48767,166952,30,77.4,112808,High,0
39,38771,255,252685,26160,226525,30,89.6,149859,Medium,0
36,15502,994,213779,47073,166706,25,78.0,56507,High,0
62,33283,350,194835,35899,158936,30,81.6,131124,Medium,1
36,42537,563,261893,36070,225823,25,86.2,191461,Medium,1
33,71675,448,233772,54674,179098,25,76.6,279736,Low,1
49,34003,677,127905,11374,116531,25,91.1,153343,Low,1
24,73456,116,269135,71261,197874,30,73.5,385993,Low,1
20,25248,363,164962,14614,150348,25,91.1,137337,Medium,1
31,58406,391,128253,47219,81034,30,63.2,214977,Low,1
58,26797,538,180417,23007,157410,35,87.2,121131,High,0
39,35383,367,355632,29630,326002,30,91.7,148421,High,1
47,36568,569,193107,26691,166416,20,86.2,155821,Medium,0
28,34023,1127,134607,10222,124385,20,92.4,153457,Medium,1
32,25796,916,163959,32175,131784,30,80.4,98465,High,0
30,38181,207,160961,13842,147119,25,91.4,147635,Low,0
19,22222,30,293063,45835,247228,25,84.4,78131,High,0
36,37312,59,139340,35955,103385,20,74.2,133459,Low,1
52,42817,369,198140,77552,120588,35,60.9,167840,Low,1
52,59865,1011,195893,40421,155472,25,79.4,205032,Low,1
54,32025,138,274451,77086,197365,25,71.9,134217,Low,1
21,34355,523,347682,74895,272787,30,78.5,156260,Medium,1
41,23466,677,169069,36872,132197,25,78.2,112807,Medium,0
24,53763,609,166578,20898,145680,20,87.5,235617,Low,1
60,64575,218,169276,67241,102035,35,60.3,331672,Low,1
22,27994,869,204763,13838,190925,35,93.2,114023,High,0
69,61748,213,337099,79603,257496,20,76.4,266944,Low,0
72,49693,1106,182114,26709,155405,30,85.3,193316,Medium,1
31,41762,552,257808,34268,223540,30,86.7,141578,Medium,0
54,75752,1222,154820,45563,109257,20,70.6,321314,Low,1
21,17162,344,294548,23967,270581,35,91.9,76088,High,0
60,31628,356,200993,51128,149865,25,74.6,125959,Low,1
45,45002,1264,310300,27480,282820,25,91.1,154842,High,0
61,50445,835,225136,31635,193501,25,85.9,196107,Medium,0
23,36608,184,264926,54942,209984,20,79.3,143606,Low,0
21,38232,430,280025,99533,180492,30,64.5,176139,Low,1
46,40327,319,178060,55922,122138,30,68.6,157920,Low,1
59,65253,1633,254707,31228,223479,15,87.7,288322,Low,1
63,45249,618,253255,24853,228402,20,90.2,183163,Medium,0
45,49915,380,170787,45064,125723,15,73.6,227581,Low,1
75,39055,866,287207,62995,224212,20,78.1,197759,Medium,0
47,43662,300,190550,20317,170233,30,89.3,227598,Low,1
23,27660,277,383716,41591,342125,15,89.2,105771,High,0
20,44075,513,233311,45017,188294,30,80.7,196225,Low,1
72,40626,243,246413,45128,201285,30,81.7,140287,Medium,0
56,16199,603,140757,17214,123543,30,87.8,77979,High,0
43,37004,679,293729,71138,222591,15,75.8,146804,Medium,1
30,45774,1052,223039,48108,174931,25,78.4,227113,Low,1
42,40125,294,218470,71993,146477,30,67.0,152012,Low,1
26,56482,1112,193182,45454,147728,30,76.5,286516,Low,1
22,27957,109,201279,36061,165218,20,82.1,119205,Low,1
68,16292,429,277689,18323,259366,30,93.4,61383,High,0
46,82374,540,276608,36343,240265,35,86.9,300888,Low,1
52,59151,48,189099,42871,146228,30,77.3,216060,Low,1
23,57259,425,142306,36702,105604,30,74.2,249566,Low,1
41,28522,152,200973,37582,163391,20,81.3,119506,Low,1
32,47383,141,265000,97054,167946,20,63.4,183249,Low,1
74,46550,428,134885,19521,115364,25,85.5,254134,Low,1
30,16926,240,233791,56462,177329,35,75.8,68624,High,0
24,25426,658,275695,85881,189814,25,68.8,107873,Medium,1
48,29408,178,206435,33043,173392,15,84.0,109371,Medium,1
32,20625,462,187044,42495,144549,25,77.3,95689,Medium,0
33,54019,748,193711,33882,159829,30,82.5,228640,Low,1
37,68809,504,230171,47082,183089,25,79.5,345051,Low,1
46,24471,880,342335,79727,262608,20,76.7,96369,High,0
50,52284,1019,211496,32747,178749,30,84.5,231412,Low,1
70,45480,590,120000,10953,109047,35,90.9,159919,Low,1
40,23977,314,189583,21242,168341,35,88.8,127767,Medium,1
50,21163,562,182602,31559,151043,25,82.7,80551,High,0
55,24755,324,160389,31033,129356,25,80.7,103359,Medium,0
55,18364,569,163764,49190,114574,30,70.0,91445,Medium,0
74,20896,195,120000,32673,87327,30,72.8,78820,Low,0
25,30759,513,193411,65153,128258,30,66.3,129071,Low,1
60,31595,1027,189485,55199,134286,25,70.9,129929,Medium,1
55,42714,902,367168,53541,313627,25,85.4,188734,High,0
26,55978,1218,244378,41206,203172,20,83.1,265675,Low,1
47,29513,1468,265597,80875,184722,30,69.5,123688,High,0
39,26851,521,233147,47279,185868,30,79.7,103200,High,0
74,35209,718,170950,31863,139087,30,81.4,150308,Medium,0
63,52457,198,353867,60916,292951,25,82.8,215134,Medium,0
34,26297,73,159571,37185,122386,25,76.7,117842,Low,1
61,37105,377,252347,113556,138791,30,55.0,173751,Low,1
58,21822,173,167770,47432,120338,20,71.7,117059,Low,0
25,21716,72,198296,42607,155689,30,78.5,104694,Low,1
35,37796,326,165471,40012,125459,20,75.8,148147,Low,1
70,30485,204,166772,45234,121538,25,72.9,138937,Low,1
51,26223,1124,253557,23060,230497,25,90.9,106539,High,0
19,15708,216,221349,26424,194925,25,88.1,50489,High,0
60,16737,998,192670,37704,154966,35,80.4,66842,High,0
