age,annual_income,monthly_debt,existing_cc_balance,total_cc_limit,requested_limit,predicted_limit,approved
22,33578,202,5878,9993,4334,4963,1
53,34564,932,21447,31065,3982,2942,1
45,30241,133,4041,20888,17620,6235,1
65,51656,700,3785,11817,6908,8070,1
22,30818,543,13294,26245,5166,3815,0
43,38522,169,8890,20813,5256,5711,1
34,21226,622,0,0,1315,3227,1
68,28417,1327,0,0,4667,3585,0
34,24858,279,16503,21095,3957,2258,1
67,28785,261,9738,25082,4879,4262,0
51,25287,269,2037,42154,6692,4514,0
58,30147,1047,2797,22795,19132,4860,1
30,25672,874,831,5950,2287,2989,0
73,77857,119,1687,14844,8939,13935,1
64,27701,377,7521,49102,5522,3319,0
26,43584,142,4113,18121,8106,8026,0
55,32440,1066,2499,12784,3137,4701,1
66,33944,563,2845,9064,16011,6749,1
18,32706,291,4554,19379,4298,4349,1
36,29678,382,2715,11150,3261,5168,1
62,45468,593,1242,4853,6827,8589,1
67,58081,573,6159,16143,7448,11176,1
51,41106,344,11302,16170,9461,6920,0
52,28011,333,4059,10122,22625,2905,1
47,42340,256,1986,13661,3879,6403,1
29,56616,290,3705,8306,6171,11438,1
26,42395,342,2197,4962,6891,7301,1
56,34204,347,623,7462,6071,6526,1
44,72261,218,7017,27337,3118,12333,1
31,27149,869,0,0,7044,3931,1
25,74355,165,6554,8941,12543,13525,1
66,45734,236,0,0,4607,9161,1
55,49019,219,8123,17094,9532,7813,1
28,20244,204,21492,30996,3438,621,0
60,30948,195,17900,63527,5909,2608,1
19,37655,234,1081,9449,1010,6718,1
36,46692,512,0,0,10286,7062,0
54,45544,127,2181,6188,2677,8037,0
74,18743,444,3568,26475,3357,2799,1
73,22130,391,972,6049,4622,4465,0
62,12000,129,7076,12542,3303,1720,0
37,23043,408,0,0,2411,3299,1
32,58127,188,2975,14978,6734,8996,1
27,58862,91,4816,12297,10388,8715,1
51,46969,422,17815,31820,7245,6060,0
41,33192,332,472,9543,10474,6152,0
51,63239,280,2396,15273,32254,11315,1
36,37835,525,0,0,13361,5529,0
19,22608,525,1466,6760,10039,2667,0
48,25780,1369,1349,5878,5562,3727,1
53,40387,210,1150,18552,4670,7120,1
45,21360,341,15984,32638,24679,2529,1
23,35812,255,2671,14936,7450,6290,1
42,33497,282,5106,18534,5190,5991,1
37,39333,331,1629,14689,4616,6286,1
18,37519,498,982,9823,8172,5238,0
47,53873,187,2104,8998,7304,8072,0
42,15305,102,7817,14252,10032,2015,0
24,18907,247,4989,16646,7070,2386,0
69,34817,369,0,0,3828,5867,1
60,21917,323,0,0,12534,2901,1
23,32836,346,566,8082,7196,6240,1
42,21390,666,1894,11374,10839,3641,0
73,38357,436,1829,10018,18999,6964,1
30,19575,1125,2096,20831,5990,3132,0
32,38957,313,9484,18756,10681,6382,0
20,22955,287,8212,21683,11243,2046,0
75,40120,168,3418,8058,10510,6329,1
51,21677,555,0,0,15877,3691,0
48,44175,592,1915,18050,4599,7581,1
73,45308,272,1335,11327,5003,7982,1
73,25554,68,1894,9337,5791,3651,1
29,16367,384,4215,22787,7964,566,1
52,31113,561,341,4130,3510,6062,1
71,40508,300,466,18408,8080,7883,1
18,28643,516,0,0,3750,5094,1
74,38429,787,0,0,33145,6152,1
51,37920,504,0,0,14288,6309,1
22,20873,103,7113,16279,8137,4375,0
42,45894,387,0,0,6585,7852,1
45,31427,433,6386,30378,8538,5200,1
20,64181,82,10314,26489,3513,9804,1
37,26088,500,15811,29985,7184,2684,1
18,73270,1123,14165,26636,4934,7962,1
19,41190,359,6630,22557,9210,5886,1
65,12000,217,0,0,6312,3136,1
50,49262,553,347,8077,3704,7933,1
36,87811,573,19975,21839,6364,14096,1
44,44400,519,0,0,3155,7660,1
68,18750,600,4038,11284,10067,1842,0
21,38744,323,1854,65000,11782,7763,0
26,38966,568,0,0,17354,6047,1
72,38100,397,0,0,12315,6898,1
23,14608,95,0,0,8931,1369,0
24,31267,890,8619,22934,3923,4000,1
56,58594,510,1034,12016,24791,10595,1
36,21040,541,15836,24030,17269,956,1
69,42109,959,1662,5337,11513,5571,1
40,28847,589,649,6695,9043,4650,1
38,25981,65,0,0,4371,4100,1
32,49790,445,0,0,6157,8441,1
53,40634,160,542,7074,6744,6969,1
50,49024,302,3081,8633,6936,7087,0
28,21265,1044,4531,11213,7046,1923,0
22,24294,41,3288,18436,4745,3519,1
34,20424,196,2245,6677,4794,5052,1
57,29440,129,1495,7824,8888,4981,1
43,52063,129,1861,5590,9733,10108,1
55,33778,1168,5716,11376,2643,5326,0
18,33881,270,0,0,10909,5647,1
68,30199,119,7968,22413,19145,5137,1
24,30310,1019,3620,13578,14645,3693,1
23,27654,164,1476,13645,5250,6129,1
62,36505,229,3823,7967,6578,5498,1
71,17925,177,4681,20391,6802,2197,1
52,32306,1278,2907,4242,15135,5633,0
40,36840,335,0,0,13167,6774,1
53,40500,78,2164,11610,4751,6112,0
75,23337,532,2334,12434,9594,2961,1
33,71586,51,1495,14696,3582,13695,1
75,18292,335,679,10122,10147,2678,0
40,60661,651,0,0,11658,9062,1
19,47795,591,188,4622,8548,8373,1
70,71397,325,2061,15900,15137,12825,1
52,41717,301,4069,17675,9425,7642,1
21,38864,863,4781,19829,7832,4831,0
19,32030,155,751,6368,11017,6550,1
34,27544,1039,4612,12210,28363,4045,1
33,23066,621,12586,20324,3576,2403,0
20,35891,198,0,0,7094,5928,1
52,23186,347,6278,15286,5980,4462,0
20,23483,911,0,0,6429,3028,1
72,30496,524,4802,31619,2186,4620,1
43,21296,45,193,3771,10998,4061,0
40,23967,305,1007,5705,8186,4080,0
24,32853,540,2686,17867,6259,5894,0
50,27884,1399,0,0,5726,2260,0
38,34901,97,0,0,5978,6283,1
36,27667,432,10620,30960,2802,2405,1
44,22987,397,6951,12527,9858,4026,1
19,65874,1320,14276,26127,9489,9477,1
54,37753,359,0,0,5257,6234,1
31,49695,582,5268,14904,4454,7756,1
30,21647,75,6934,12162,5463,2834,1
60,28652,460,2421,11108,2393,3483,0
47,26097,393,3389,20467,5054,3728,1
28,38665,413,10720,25221,9596,4724,1
44,43712,300,911,4641,5202,6886,1
60,61742,54,5645,11148,4903,9877,1
43,40932,505,0,0,3027,6606,0
70,62113,714,1853,10604,11740,10969,1
38,12000,280,7125,12274,9139,2323,1
64,34203,1145,2920,13141,12169,4180,1
44,58420,36,1173,12103,8551,10400,1
70,64086,406,984,10400,10792,11260,1
61,24171,735,3402,25266,10749,2358,1
75,38527,131,992,5424,4984,7381,1
74,14985,599,7530,12632,3998,1497,0
51,35043,466,2506,13806,10250,6011,0
21,80048,535,11511,21449,6042,13385,1
20,19548,289,1940,6195,8807,3136,0
59,65597,178,2843,12087,7979,11828,1
39,32431,252,669,5169,6938,5388,1
30,37027,331,3488,7951,4503,5968,1
42,34602,338,4011,28026,6960,5918,0
43,30523,168,303,12087,3410,5844,0
24,13413,578,5397,13299,11448,980,0
35,56072,490,35,6799,9106,9343,1
46,32453,410,1547,15150,5394,3961,1
50,27652,326,3224,18752,8740,3583,1
67,27038,155,1849,4254,6122,4017,1
23,107523,541,1155,12711,4971,19133,1
18,35923,154,0,0,2849,6006,0
66,17254,350,0,0,16584,3076,0
60,13333,146,759,14140,14593,2784,0
43,27475,88,4709,9250,15525,4679,1
46,17840,411,9624,36806,8372,1526,1
19,19443,349,1967,5347,10047,2531,1
60,37285,202,1422,5521,3755,6370,0
62,29713,265,0,0,8700,5451,1
29,22097,907,0,0,7053,3224,0
20,44469,234,8726,14384,5692,7742,1
20,35600,715,22486,56978,3305,4007,1
54,19673,176,0,0,5067,2896,0
70,32155,660,0,0,11489,5060,1
23,35838,162,0,0,7201,6506,1
70,29693,576,5921,11706,5494,4195,0
18,40355,514,5521,15594,3794,6698,1
61,29146,512,5654,29247,5781,4993,0
48,23121,165,5411,21519,5528,2498,1
29,64031,341,4689,24239,4377,11668,1
22,39474,376,15901,50144,9167,4112,1
37,29951,714,0,0,13006,5022,0
52,26030,383,2757,12799,15233,3451,1
59,18495,905,15441,25778,3657,519,1
21,22282,616,3416,10647,5420,1367,0
56,20552,251,0,0,12923,3016,1
52,41593,269,3890,12549,3728,5642,1
66,33239,242,2562,8849,3543,4516,1
48,48625,233,0,0,2806,9542,0
36,58699,582,0,0,9081,9692,1
19,60391,474,0,0,5219,11429,1
35,49070,604,191,3175,4084,7988,1
48,26263,471,3241,20120,1229,4245,1
71,34847,497,4620,28309,10564,4552,1
73,43394,118,242,13018,10068,8194,1
24,38456,558,12048,34053,8556,4762,1
71,27715,564,8831,27430,9963,2377,1
46,25204,1497,4207,50596,5701,1770,0
73,52315,821,216,4726,9085,7987,1
54,52579,53,3974,28603,29269,9288,1
67,44901,372,15221,32192,4217,5850,0
26,39581,159,1817,11750,5331,6491,1
43,61491,391,0,0,9093,9304,1
19,29096,195,3140,9323,6736,5276,1
56,26004,799,2625,10244,16154,3855,0
19,26009,322,561,11808,7858,3840,1
75,35133,431,0,0,11145,4913,0
71,35013,778,5479,10626,6731,5306,1
30,31892,639,2991,22751,3697,5465,0
27,27611,482,1633,3617,11096,5374,1
32,29723,721,3124,11482,2580,4811,0
31,61939,650,4189,8417,3910,9608,0
47,22585,366,1749,21500,2189,3939,1
35,18824,843,900,13557,11445,2391,0
43,41061,585,2706,7835,6146,6585,1
23,32219,169,0,0,12146,5441,1
22,31532,575,4715,13529,3586,4857,1
49,34515,1144,5134,23172,22196,4090,0
68,43261,275,4557,18317,7175,6413,1
54,46919,154,0,0,2200,7596,1
43,15640,176,7944,32907,3039,1644,1
60,32272,390,5653,27156,10921,4148,1
24,58379,381,3517,5340,9774,9579,0
53,52641,632,0,0,9582,9138,1
35,35244,129,11043,27746,5758,6238,0
35,65991,470,1034,19946,10998,11757,0
59,25555,251,7329,9326,5301,4201,0
64,25766,86,0,0,18749,4574,1
60,21975,33,7518,47690,3044,2993,1
70,27768,996,1907,6638,8497,4966,1
65,19948,848,5571,28500,9121,2930,1
19,50752,190,5038,32074,4653,9549,1
45,36912,171,4095,10735,5630,5678,1
61,29804,130,11518,20206,3945,3826,1
70,44312,223,2435,13519,13736,8677,0
28,14531,136,4888,9410,4563,2195,0
25,30917,170,1244,11840,6852,5564,0
24,29531,208,653,8032,9026,4914,1
65,71921,260,0,0,9547,14720,1
42,31794,626,1064,4430,14468,4100,1
39,20349,597,3421,15257,7269,2980,1
64,39690,349,0,0,5450,7679,1
59,20393,941,2372,36775,4795,2078,0
30,28942,365,18117,31039,12530,3922,1
45,14893,853,8072,27951,13963,1670,0
51,47003,646,16710,39578,11929,6979,1
68,35185,548,8862,25972,10040,3937,0
57,19647,1403,1528,24832,6314,1946,0
37,58203,88,12092,26954,12323,8771,1
18,14516,344,0,0,8987,1466,1
27,19841,752,1574,4670,6563,2399,1
54,15187,953,10531,17113,3418,2193,0
63,41560,588,13220,16905,6041,5617,0
21,25583,522,10802,29218,4930,2625,1
66,18437,331,0,0,6762,2856,0
74,15235,445,10745,59065,16112,923,1
47,25380,523,0,0,5262,4550,0
19,24468,140,1529,11764,4803,4768,0
32,49920,297,1297,15786,8363,8857,1
39,21286,343,0,0,11620,3613,1
72,32343,463,5702,26567,13488,5640,0
23,29203,628,5533,6789,5353,4007,0
55,24291,489,0,0,4409,4265,1
30,47719,305,6919,28084,3888,7459,1
38,23520,689,1317,3684,1733,4882,1
68,24533,234,0,0,9419,5035,0
52,28731,135,827,23397,14629,4306,1
20,49763,322,0,0,4406,9144,0
45,28884,303,2359,13493,7095,5774,0
46,60105,123,1554,8370,7033,11299,1
29,27314,694,3746,16839,5263,4453,1
43,29943,266,5363,17824,5265,4768,0
68,42389,371,8308,14407,7960,7292,1
62,17590,470,893,12823,2269,2939,1
45,41205,696,5588,8291,5322,6851,1
32,43341,351,1211,12129,5751,8058,1
63,25214,156,3163,7390,20161,3293,1
20,28159,841,4320,10087,5427,3329,0
58,52429,363,3128,25609,7976,8043,1
61,22272,18,10261,17528,12993,2571,1
61,16461,127,4215,13693,6814,2886,0
45,30259,516,0,0,26381,5965,1
65,39893,189,0,0,7348,7333,0
38,57760,75,304,5226,13096,9920,1
71,34017,128,3918,20947,6710,5702,1
47,43302,45,1037,15654,4281,8400,1
26,43063,930,433,8846,5019,8057,1
42,57598,297,5747,15785,4413,10002,1
36,31465,368,9570,12911,16751,5667,1
63,53437,553,0,0,8780,9735,0
33,25383,192,9435,19826,2183,4035,1
75,30105,65,1197,9863,7177,5128,0
68,26745,341,2281,5215,4761,3717,1
66,38972,455,5927,9522,3200,5368,1
27,30097,347,5069,11424,8089,3952,1
21,65946,95,2536,17872,4033,11878,1
38,12162,160,5393,14574,2236,2377,1
61,21250,201,4707,34456,8154,4627,1
24,36318,127,5864,25803,6885,6396,1
59,34193,146,7094,11817,4709,5321,1
50,44211,824,0,0,3794,6291,0
24,54710,300,7836,23583,8072,8846,1
75,21134,374,11034,63600,8016,2250,0
28,19779,169,2249,40223,7793,3587,0
33,45172,686,24023,35680,6641,5798,0
49,29196,202,0,0,12351,5522,1
74,66243,3,2001,8673,6576,11762,1
57,23534,295,8518,19906,6747,2990,0
40,17908,561,123,24149,11924,1163,0
74,32434,442,0,0,7879,5655,1
28,84755,320,6666,17799,5720,14068,0
60,40351,493,43,3736,17959,7048,1
46,33058,317,489,1437,3650,5891,1
65,22343,442,2119,5323,9487,3592,1
66,15050,471,2440,16959,12595,2321,1
28,49846,490,5289,10635,5626,7048,0
54,44312,227,1193,11837,16714,7077,1
22,31806,692,2173,21459,15154,5937,0
29,23397,627,1863,13701,13746,3903,1
37,39356,144,2459,4443,10206,6307,1
62,53158,639,1227,20626,16556,9341,1
46,16523,89,0,0,2481,2446,0
21,49484,163,2053,10416,7245,9428,0
34,26563,200,949,8966,16802,4297,0
59,26918,60,4381,14456,2712,3759,1
47,21716,542,2893,11477,8798,2881,0
63,25860,678,6821,15460,3587,3429,0
34,20245,115,0,0,5753,3801,1
20,78515,66,3254,11774,3109,13074,1
44,50400,351,1654,11502,8262,9801,0
32,35735,676,2259,7359,5803,4303,0
66,32814,808,11970,27900,5687,4135,1
21,26839,739,7267,9253,17557,2093,0
32,28712,62,1296,40987,7351,5760,1
44,15435,610,3769,18362,15073,1183,1
45,27299,837,900,5888,10207,4897,0
28,13726,812,3479,17454,9582,2259,0
52,54579,19,0,0,13296,10467,0
34,33946,253,1959,6134,8268,5581,0
21,21901,601,3148,24332,6222,3171,0
18,47071,247,0,0,2984,7932,1
59,91856,630,6371,12859,27610,16162,1
62,36935,636,0,0,3650,7341,1
50,22206,312,636,2726,6863,3908,0
41,31918,185,4417,14197,1143,4208,0
58,71989,335,2293,37867,7282,12571,1
53,49425,146,4020,14302,4359,9019,1
27,29157,774,0,0,6243,4167,0
43,38595,40,6105,34743,7387,7161,0
72,38043,80,1497,4616,2057,7517,0
35,22545,736,1445,6895,11990,3607,1
48,31381,234,7089,15074,6512,4101,0
21,19942,373,3285,7866,6348,4044,1
24,27058,257,0,0,8858,3512,1
47,31427,617,2947,16460,4961,5174,1
62,18246,137,0,0,13400,2916,1
62,22059,574,2861,14344,18565,4611,1
33,32551,109,3913,21967,15142,5104,1
71,14202,494,2009,7717,13432,1627,0
63,40518,455,40868,63974,9554,1148,1
60,26165,527,1743,11990,5809,3619,1
69,24255,68,722,7285,4686,4705,1
20,62096,111,1752,7379,9037,11576,1
25,33533,285,663,14308,26587,6168,1
40,29353,666,278,8598,3092,3296,1
59,19610,269,15759,23871,13002,1476,1
65,31912,236,4334,18098,5441,6013,1
54,44683,338,0,0,15427,6633,0
21,42110,114,4362,11692,3785,7299,1
72,24825,500,2276,24220,7524,4853,0
62,31260,428,5954,12786,13003,4515,0
69,51374,200,49,11993,5713,8968,0
22,36320,143,935,31790,3788,6609,1
65,19151,384,0,0,5843,3890,0
29,47276,380,0,0,20032,8961,1
23,39947,162,189,10247,5493,7478,1
50,40659,301,7374,27709,11942,6462,1
36,33034,1108,4410,8200,4807,5673,0
26,31707,557,392,2015,17506,5191,0
50,22982,241,1809,4807,5413,3462,1
20,28672,746,3112,15477,11384,5446,0
66,32438,1106,9248,19914,8201,3401,0
21,24816,822,6574,24852,6820,2288,0
56,31356,123,3760,8255,4909,6072,1
37,39391,325,12553,17336,5217,5001,1
41,18489,309,1845,29733,5027,1361,1
28,34266,621,1240,16705,4407,7090,1
60,39096,870,2404,12625,2463,5671,1
52,39066,976,3602,9006,8430,6982,1
20,29411,213,1615,15616,5236,5087,1
73,31165,385,0,0,7867,4678,1
40,32064,299,2038,22578,16838,5373,0
57,22899,296,5673,14100,2993,3298,1
62,13160,206,2139,9790,3156,2739,0
59,18869,342,5937,10745,15592,2506,0
22,15736,185,12000,61644,5615,1171,1
50,42773,991,1193,6234,12160,6136,0
69,12000,834,14542,27300,2610,200,0
74,28749,355,1113,14059,6158,5082,0
34,37591,259,2890,7178,8398,7824,1
40,28519,466,0,0,6823,4456,0
58,14638,1564,0,0,11750,1401,0
49,12000,76,600,3260,11754,2123,1
18,56326,335,14192,61630,4373,9543,0
52,19590,300,9739,28477,3399,1247,1
58,45716,197,0,0,3386,8492,1
40,96170,522,14642,38608,7366,16343,1
24,46200,943,4719,8083,7832,7531,0
66,34149,361,0,0,3205,6532,1
46,42050,341,4634,8210,7667,5821,1
23,40424,1922,0,0,20875,7192,0
24,22185,474,364,10330,8278,3159,0
63,49490,248,2300,5658,6031,8681,1
40,38555,674,2459,24073,11389,5967,0
74,35159,480,0,0,5390,6834,1
73,30727,773,890,8413,7143,4698,0
66,38525,67,20873,27580,3645,3526,1
50,38923,143,7660,22065,16689,5259,1
53,17238,295,1265,14586,5654,3626,0
70,18166,315,4019,27073,5079,2823,0
61,25394,490,0,0,16395,4758,1
19,24254,1440,402,8689,10223,3650,0
66,17506,185,0,0,7503,3539,1
41,21047,162,674,4062,5924,3396,1
36,25830,56,6059,33028,11311,3969,0
30,58759,184,8238,30223,5842,10115,1
56,17982,152,536,10699,10876,3672,0
39,32249,1023,0,0,6037,5028,0
43,28851,415,2330,6084,8022,4521,0
67,30291,462,0,0,2902,3862,1
38,18320,576,9057,10807,7500,2205,1
33,40036,407,3958,9667,29624,6297,1
57,36909,294,15624,27882,17303,4697,1
44,37345,187,0,0,7892,6136,1
54,23925,894,7717,13602,7662,3356,1
45,22917,35,2437,8768,10305,3990,0
26,26381,793,3696,9074,11311,2983,1
47,34231,428,19295,28949,4603,3159,1
42,29167,92,4293,21185,7618,4876,1
67,51288,332,2063,6616,4765,9374,1
23,33668,1052,509,13682,6988,4270,1
42,21475,157,660,11395,9375,3478,1
40,36624,150,5551,14560,2269,7240,1
35,35175,114,0,0,12257,6851,0
73,31452,491,23152,33386,12031,2268,1
69,19236,408,0,0,7244,3242,0
57,42629,475,10019,15168,8084,6534,1
73,34981,783,1016,6095,4392,6123,1
74,23451,917,3147,18343,11501,2597,1
70,23707,442,713,8241,12903,4087,0
42,36412,710,0,0,15311,5028,1
52,31645,413,6871,20441,13544,4526,0
29,23110,590,0,0,15698,3287,0
39,29945,1049,4962,14506,8862,4562,1
61,47364,343,12960,26236,7888,6775,1
24,33822,1088,4381,11706,6718,5557,0
31,63668,153,1122,16792,8463,11483,1
44,29401,12,3419,8631,15946,4990,1
29,37738,564,3834,7797,32930,7944,0
42,37167,213,1438,4983,7596,5889,1
35,22381,343,1672,7274,13829,3462,1
54,19448,430,279,8359,6893,2570,0
22,26936,37,3635,12737,5024,4703,1
70,20133,561,0,0,20058,3520,1
41,45771,200,7115,37908,7270,7756,1
72,17096,97,4235,9290,9104,1664,1
18,67651,127,0,0,13212,13581,1
19,39198,188,7635,16085,6650,5838,0
62,47766,325,3557,26628,6720,9514,1
23,34680,444,10483,24070,10609,4729,0
25,34968,449,2791,14279,4074,6604,1
55,24745,125,0,0,4047,4650,1
28,20763,185,263,17307,8522,3887,1
54,44693,444,2786,15470,15570,7707,1
53,42833,126,8649,13839,18658,6147,0
70,43505,221,3114,13590,4672,5584,1
63,55648,417,697,6390,10331,9914,0
39,23169,1165,5452,30756,21051,3819,1
61,21695,139,0,0,6175,2482,1
49,25267,141,6859,35202,18232,3123,0
70,48577,1463,6939,22995,5451,7403,0
27,25010,138,9621,17611,6944,3637,1
56,38969,1110,1641,20323,9281,5177,1
37,22684,482,0,0,7249,3925,0
19,34835,601,7575,28006,12836,4891,1
23,23287,364,13501,22983,7684,2312,1
42,15534,160,1473,4195,8835,3301,1
18,32123,988,1943,7069,17981,4894,1
25,19508,458,336,7179,4696,2426,0
42,83801,252,0,0,4024,15535,1
41,22346,681,18812,55719,6933,1067,1
40,65914,602,1833,2367,7334,11614,1
70,23749,657,2771,8559,11604,3321,0
51,25911,1016,5461,26434,3158,3124,1
20,45219,963,1878,10338,8739,5813,0
52,37126,642,1561,10637,5044,6825,1
21,26349,113,0,0,4898,4309,1
30,20194,157,1603,35785,8080,3391,0
64,30428,404,6779,10875,8164,4378,1
67,15651,241,2801,12321,12897,1399,0
32,30536,577,0,0,19385,4501,1
23,23986,268,9251,20788,10515,2238,1
64,56336,588,0,0,6998,9203,1
35,32892,1077,3594,11120,3855,4200,1
42,23738,521,2396,9736,3875,2624,1
45,18695,551,5494,14110,8440,2567,1
40,57374,109,0,0,5645,10364,1
24,49880,349,0,0,17636,7867,1
57,31785,474,10755,21409,5265,4371,0
25,41312,286,1415,14111,3004,6882,1
64,27679,626,15390,34074,10254,2791,1
27,34461,228,927,1946,33220,5598,1
26,28901,502,3549,9625,4735,4207,0
31,38692,515,6971,21080,10550,5876,1
50,35221,100,4382,6981,2897,5761,0
19,43907,1203,4410,8709,2671,6057,1
41,77586,118,2107,14524,11970,14011,0
33,31016,342,17473,35695,9186,3540,1
47,18348,146,1568,44700,7067,3383,1
25,15169,206,0,0,7839,2807,1
57,33807,263,1259,4258,10542,7173,0
55,34795,113,5507,30541,13590,5234,0
52,22776,544,152,2136,8957,3815,0
50,25182,388,7333,29548,17478,2419,1
26,17147,654,0,0,4325,3844,0
56,31466,515,7060,21337,4574,4854,0
43,28338,165,8028,15289,5501,3339,1
20,34446,215,1511,18566,7285,6296,1
23,25488,891,1091,11551,11410,3452,1
66,72283,292,868,12855,3407,12587,1
62,25706,382,0,0,7055,4226,1
37,27651,285,0,0,6525,4216,1
32,25633,119,1224,18782,5012,4251,0
71,33227,339,4035,12037,14902,5180,0
37,42243,639,848,9534,3104,7187,1
30,60279,331,3045,8226,8269,10381,0
42,54855,258,0,0,11772,9777,0
35,31120,410,5921,13890,11269,5595,1
22,41916,591,7059,20209,3993,7045,1
23,20087,383,13812,25906,9378,607,0
32,35934,205,618,7171,5364,6611,1
57,15829,233,572,5032,9452,3386,1
56,45409,101,1501,3663,5594,8288,1
22,26760,449,6297,11565,8338,4164,1
63,46902,506,0,0,4991,8728,1
61,31413,212,1202,10983,4705,4583,1
25,17875,555,9784,23408,5466,1153,0
54,20306,161,2822,5872,12205,3638,1
29,40121,292,2020,26727,5062,7428,0
62,22753,701,3203,47606,6387,3232,0
49,24910,560,0,0,4653,3131,1
29,26565,98,2120,15744,9900,4690,1
19,23735,464,2598,10186,8392,4536,1
72,31082,456,7332,22911,11982,3983,0
59,50707,262,88,3684,8503,9227,1
32,39629,286,42,7297,11570,7634,1
62,70912,722,1445,8606,3100,12299,1
49,24461,268,5847,9836,10987,3375,1
74,36544,664,14254,18290,6898,4658,0
31,34446,216,4926,17225,5631,5412,1
58,56421,382,1884,6217,4263,9063,1
57,64923,377,6630,17391,5400,10889,1
26,40548,453,541,5093,5075,7933,1
38,36361,106,6719,41528,7899,4692,1
21,28611,45,2097,46031,20675,4012,1
18,22685,316,0,0,7169,2703,1
61,26875,719,0,0,7994,3453,1
29,12780,218,0,0,8154,2949,1
19,40995,744,11076,26123,30767,5029,1
29,58275,65,7524,11781,3456,10174,1
23,44712,1524,0,0,4183,6180,1
45,29974,416,163,7057,2767,5267,1
18,56535,266,2155,8768,8244,9614,1
45,24751,482,7599,24695,6034,4394,0
70,52928,359,1184,8051,9142,10911,1
42,22921,566,951,23351,5907,3251,1
29,17298,301,0,0,6803,2811,0
24,21410,169,6283,24292,4907,3277,1
28,25370,488,2326,9870,5076,2907,1
52,58889,141,8078,11221,15152,9448,1
46,19568,247,0,0,13089,2737,0
23,38534,32,1090,9091,7363,7009,1
38,18270,128,2593,12741,13984,3468,1
38,24370,1283,4834,14819,9027,2081,1
34,20642,447,705,5108,7809,2168,0
22,32265,683,0,0,8050,4526,0
37,25099,738,0,0,7321,3705,1
41,94693,202,3214,9780,5735,16572,1
20,48526,107,14605,60861,7935,7298,1
63,21444,324,1433,9445,9340,3413,1
25,26188,301,914,3481,7212,5286,0
25,22022,786,7139,50144,4137,3209,0
44,17589,362,3329,18416,20593,2102,1
33,31768,491,603,4855,1308,5253,1
37,37797,108,559,7500,7530,5727,1
37,18639,665,650,12165,8750,1229,1
18,20419,508,7910,17960,5826,2084,0
40,47056,163,0,0,4425,8166,1
40,30990,271,1853,13332,7107,6937,0
73,22124,322,0,0,5089,3879,1
33,24223,220,730,6735,4157,3236,0
40,34188,213,16754,65000,14061,4378,0
40,20753,196,0,0,5409,3576,1
70,27234,477,0,0,4044,5348,1
25,38936,410,1443,13667,7693,5290,1
49,37077,167,385,11744,4483,6343,1
51,28218,340,0,0,5868,4168,0
68,13715,71,10441,12604,18475,579,0
21,18515,147,128,10367,8476,3438,1
21,36517,139,0,0,9537,7848,1
68,33175,641,7674,17069,3203,4138,0
39,17149,696,2314,4933,8300,2740,1
33,33955,184,2165,8003,14606,5484,0
66,38017,112,13538,32681,3799,4587,1
33,30933,1017,9829,13803,5826,3590,1
28,28750,91,12802,31103,6190,3532,1
29,31505,254,0,0,7875,5179,1
47,36225,472,2011,5915,3840,5611,1
63,41336,12,1453,7201,5054,7772,1
54,23966,363,2900,30443,4611,2642,0
44,40747,199,5553,11407,28199,6813,1
68,21740,89,0,0,10383,4290,0
51,31504,434,5962,9776,3638,5550,1
49,40319,230,4618,10870,8575,6429,1
30,18143,629,4770,14827,9043,2843,0
63,36916,259,0,0,3423,7051,1
19,31144,207,20673,65000,5712,3775,1
62,46394,159,48,7708,6161,9355,1
58,23814,119,2204,14732,5907,4049,1
58,19502,190,0,0,16023,3953,1
39,73371,492,704,3808,5414,12044,1
36,33781,351,8102,11848,5464,5031,1
62,34730,216,0,0,19450,5852,1
36,67407,380,6611,11033,4464,11664,1
33,23664,224,0,0,7184,3861,1
49,14659,388,0,0,14084,2499,1
24,52502,147,0,0,24705,10272,1
20,22261,85,1196,9984,6830,4646,0
31,41422,404,2650,11910,17993,7220,0
58,30633,291,8138,13697,6425,5087,1
39,29142,78,342,10074,13841,3909,0
47,45259,373,5448,15157,2747,7681,1
28,35406,293,3271,28537,5807,6193,1
32,36317,108,7044,16233,9681,5467,1
30,44073,164,2403,8742,3189,8165,0
19,35428,822,1573,40388,12422,6346,1
36,32031,366,0,0,12688,6514,0
52,26308,932,82,6663,12509,4851,1
52,19974,405,2314,6851,1989,2541,1
54,25141,545,22076,37452,3678,2347,0
21,19819,578,453,2303,5333,2422,1
41,19133,400,6036,14030,6251,2433,0
24,16750,631,728,10845,2455,2105,0
60,29738,303,2519,13218,4624,3989,0
22,24177,42,7733,25902,15845,2867,1
69,38634,310,0,0,15873,6779,0
72,43534,541,492,16538,10127,7375,0
31,75065,72,5555,21116,10163,13114,1
54,31188,482,0,0,12661,5506,1
21,25845,413,6922,19009,9009,2676,0
60,23264,342,2972,10058,4375,3940,0
45,40129,270,0,0,10245,7476,0
61,41839,494,3096,14391,14807,5517,0
23,42915,1423,0,0,9546,5775,1
21,14664,343,1284,7037,8264,1488,1
46,32351,507,0,0,10874,5893,1
59,50432,459,3175,18909,3419,7085,0
63,79062,295,2264,6359,11727,12960,1
45,20907,680,2425,25335,15216,2515,0
